term_str,syu_sentiment
ambivalence,-0.25
ambivalent,-0.5
ambrosia,0.4
ambush,-0.5
ameliorate,0.5
amen,0.6
amenable,0.5
amend,0.8
amends,0.8
amenity,0.25
amiability,1.0
amiable,0.5
amiably,0.8
amicability,1.0
amicable,0.5
amicably,1.0
amiss,-1.0
amity,-0.4
amnesia,-0.6
amnesty,1.0
amour,0.8
amphetamines,-0.4
ample,1.0
amply,1.0
amputate,-1.0
amputated,-1.0
amuse,0.75
amused,0.5
amusement,0.5
amusements,0.25
amusing,0.5
amusingly,0.8
anal,-0.6
analyst,0.25
analyze,0.25
analyzing,0.25
anaphylactic,-0.8
anarchism,-0.5
anarchist,-0.5
anarchistic,-0.8
anarchy,-0.5
anathema,-1.0
ancestor,0.25
ancestors,0.25
ancient,0.25
anecdotes,0.4
anemic,-1.0
angel,0.5
angelic,0.75
anger,-0.75
angers,-1.0
angina,-0.25
angling,0.25
angrily,-0.5
angriness,-1.0
angry,-0.75
angst,-1.0
anguish,-1.0
anguished,-1.0
animalistic,-0.8
animated,0.4
animation,0.25
animations,0.4
animosity,-0.75
animus,-0.4
annihilate,-0.5
annihilated,-1.0
annihilation,-0.5
annoy,-0.75
annoyance,-1.0
annoyances,-1.0
annoyed,-0.5
annoying,-0.75
annoyingly,-1.0
annoys,-0.5
annul,-0.25
annulment,-0.25
anointed,0.6
anomalous,-0.25
anomaly,-0.5
anonymity,-0.25
antagonism,-0.5
antagonist,-0.75
antagonistic,-0.75
antagonize,-0.5
antediluvian,-0.4
anthems,0.4
antibiotics,0.4
antichrist,-1.0
anticipating,-0.25
anticipation,0.25
antidote,0.8
antipathy,-0.5
antiquated,-0.5
antique,0.25
antiseptic,0.4
antisocial,-1.0
antithesis,-0.6
antithetical,-0.4
antsy,-0.8
anxieties,-1.0
anxiety,-1.0
anxious,-0.75
anxiously,-1.0
anxiousness,-1.0
apathetic,-0.75
apathetically,-0.6
apathy,-1.0
apeshit,-0.8
aplomb,0.8
apocalypse,-1.0
apocalyptic,-0.5
apologetic,0.6
apologist,-0.4
apologists,-0.4
apologize,0.8
apologized,0.8
apologizes,0.8
apologizing,0.8
apology,0.6
apotheosis,0.8
appall,-1.0
appalled,-0.5
appalling,-0.75
appallingly,-1.0
appeal,0.6
appealing,0.5
appearing,0.25
appease,0.6
appeased,0.6
appeases,0.6
appeasing,0.6
applaud,0.5
applauded,0.8
applauding,0.8
applauds,0.5
applause,0.5
appraisal,0.25
appreciable,0.8
appreciate,0.5
appreciated,0.75
appreciates,0.75
appreciating,0.8
appreciation,0.75
appreciative,1.0
appreciatively,1.0
apprehends,-0.8
apprehension,-0.75
apprehensions,-1.0
apprehensive,-0.75
apprehensively,-1.0
approbation,0.6
appropriate,1.0
appropriation,-0.4
approval,1.0
approve,0.5
approved,1.0
approves,1.0
approving,1.0
apropos,0.6
apt,0.5
aptitude,0.4
arbitrary,-0.5
arcade,0.6
arcane,-0.4
archaic,-0.5
archival,0.25
ardent,0.75
ardently,0.4
ardor,0.75
arduous,-0.5
arduously,-1.0
arguably,-0.4
argue,-0.5
argument,-0.8
argumentative,-0.5
arid,-0.25
aristocratic,-0.25
arouse,0.8
aroused,0.8
arraignment,-0.6
arrears,-0.8
arrest,-0.5
arrested,-0.5
arresting,-0.6
arrestingly,-0.6
arrests,-0.6
arrogance,-0.5
arrogant,-0.75
arrogantly,-0.8
arsenic,-1.0
arson,-1.0
art,0.6
articulate,0.5
articulation,0.25
artillery,-0.6
artisan,0.6
artisans,0.6
artist,0.6
artistic,0.6
artwork,0.6
ascendancy,0.1
ascension,0.5
ascent,0.8
ash,-0.4
ashamed,-1.0
ashes,-0.4
asinine,-0.5
aspersions,-0.6
asphyxiated,-1.0
aspiration,0.5
aspirations,0.8
aspire,0.5
aspiring,1.0
ass,-0.5
assail,-0.5
assailant,-1.0
assassin,-0.5
assassinate,-0.5
assassination,-0.5
assassinations,-1.0
assassins,-1.0
assault,-0.75
assaulted,-1.0
assembled,0.25
assembly,0.25
assent,0.4
asses,-0.6
asset,0.5
assets,0.5
assfucking,-1.0
asshole,-0.75
assist,0.8
assistance,0.8
assorted,0.25
assuage,1.0
assurance,0.5
assurances,0.8
assure,0.8
assured,0.8
assuredly,0.8
assures,0.8
assuring,0.8
astonish,0.25
astonished,0.5
astonishing,0.5
astonishingly,0.5
astonishment,0.5
astound,0.5
astounded,0.5
astounding,0.75
astoundingly,0.5
astray,-0.5
astringent,-0.4
astronaut,0.4
astute,1.0
astutely,1.0
asunder,-0.6
asymmetrically,-0.4
atheism,-0.1
athlete,0.6
athletic,0.5
atone,-0.25
atonement,-0.25
atrocious,-0.5
atrocities,-0.5
atrocity,-0.5
atrophy,-0.5
attack,-0.75
attacked,-1.0
attacker,-0.6
attacking,-0.5
attacks,-0.5
attain,0.8
attainable,0.8
attainment,0.8
attendance,0.4
attendant,0.4
attendants,0.4
attention,0.25
attentive,0.5
attenuated,-0.25
attenuation,-0.25
attorney,-0.25
attract,0.8
attracted,0.8
attracting,0.8
attraction,1.0
attractions,0.8
attractive,0.5
attractively,1.0
attractiveness,1.0
attracts,0.8
attune,0.4
audacious,-0.25
audaciously,-0.25
audaciousness,-0.25
audacity,-0.5
audible,0.1
audibly,0.4
augment,0.4
aunt,0.25
auspicious,0.5
austere,-0.5
austerity,-0.6
authentic,0.5
authenticity,0.1
authoritarian,-0.8
authoritative,0.25
authority,0.5
authorization,0.4
authorized,0.6
autocratic,-0.5
autonomous,0.6
autopsy,-0.6
available,0.8
avalanche,-0.5
avarice,-0.5
avenge,0.25
avenger,0.25
avenging,0.25
averse,-0.5
aversion,-0.5
avert,-0.25
averted,-0.5
averts,-0.6
avid,0.75
avidly,0.8
avoid,-0.5
avoidance,-0.8
avoided,-0.5
avoids,-0.8
await,-0.5
awaited,-0.25
awaits,-0.25
awaken,0.8
awakened,-0.25
award,0.75
awarded,0.5
awards,0.5
awed,0.4
awesome,0.6
awesomely,1.0
awesomeness,1.0
awestruck,0.6
awful,-0.75
awfully,-1.0
awfulness,-1.0
awkward,-0.5
awkwardness,-0.75
awol,-0.8
awry,-1.0
axe,-0.4
axed,-0.6
axes,-0.25
babble,-0.5
babbling,-0.5
baby,0.6
bachelor,0.6
backache,-1.0
backed,0.25
backpedaled,-0.8
backsides,-0.4
backward,-0.5
backwardness,-0.8
backwards,-0.4
backwater,-0.4
bacteria,-0.6
bacterium,-0.6
bad,-0.75
badass,0.4
badger,-0.5
badly,-0.75
badness,-1.0
baffle,-0.6
baffled,-0.6
bafflement,-0.6
baffling,-0.6
bailiff,-0.4
bailing,-0.4
bailout,-0.25
balance,0.6
balanced,0.5
balk,-0.5
ballet,0.6
ballooned,-0.25
ballot,0.25
bamboozle,-0.25
bamboozled,-0.25
bamboozles,-0.25
ban,-0.5
banal,-1.0
bandage,-0.25
bandit,-0.8
bane,-0.5
banish,-0.75
banished,-1.0
banishment,-0.5
bankrupt,-0.75
bankruptcy,-1.0
bankrupted,-1.0
banned,-1.0
banquet,0.6
banshee,-0.25
barb,-0.25
barbarian,-0.5
barbaric,-0.5
barbarically,-1.0
barbarism,-1.0
barbarity,-1.0
barbarous,-1.0
barbarously,-1.0
bargain,0.75
barred,-0.5
barren,-0.5
barricade,-0.6
barrier,-0.5
baseless,-0.5
bash,-0.6
bashed,-0.5
bashful,-0.25
bashing,-0.5
basking,0.8
bastard,-1.0
bastards,-0.75
bastion,-0.25
bath,0.4
battered,-0.5
battering,-0.4
battle,-0.5
battled,-0.6
battlefield,-0.6
battles,-0.6
battling,-0.6
bawdy,-0.25
bawl,-0.8
bayonet,-0.6
bazaar,-0.25
beachfront,0.25
beaded,-0.25
beamed,0.8
beaming,0.5
beast,-0.5
beastly,-0.5
beaten,-1.0
beating,-0.5
beauteous,0.8
beauties,0.25
beautification,0.8
beautiful,0.75
beautifully,1.0
beautify,0.75
beauty,0.5
beckon,0.6
beckoned,0.5
beckoning,0.6
beckons,0.6
bedlam,-0.8
bedrooms,0.25
beekeeper,0.25
befitting,0.4
befriend,1.0
befuddled,-0.6
beg,-0.75
beggar,-0.5
begging,-0.5
begrudgingly,-1.0
behemoth,-0.6
beholden,-0.4
belabor,-0.8
belated,-0.5
beleaguer,-0.6
belie,-0.6
believable,0.8
believer,0.6
believers,0.8
believing,0.8
belittle,-0.75
belittled,-0.5
belittling,-1.0
bellicose,-0.8
belligerence,-1.0
belligerent,-0.5
belligerently,-1.0
beloved,0.5
bemoan,-1.0
bemoaning,-1.0
bemused,-0.25
benefactor,0.75
beneficent,0.5
beneficial,0.5
beneficially,1.0
beneficiary,0.6
benefit,0.75
benefits,1.0
benefitted,1.0
benefitting,1.0
benevolence,0.5
benevolent,0.5
benevolently,1.0
benign,0.25
bent,-0.4
berate,-0.6
bereave,-0.5
bereaved,-0.5
bereavement,-0.5
bereaves,-1.0
bereaving,-1.0
bereft,-0.5
berserk,-0.5
beset,-0.6
besiege,-0.8
besmirch,-0.8
best,0.5
bestial,-0.5
bestknown,0.6
bestowed,0.8
bestseller,0.8
bestsellers,0.8
bestselling,0.8
betray,-0.75
betrayal,-0.75
betrayals,-1.0
betrayed,-1.0
betrayer,-1.0
betraying,-0.5
betrays,-0.5
betrothed,0.25
better,0.8
bettered,1.0
betterknown,0.6
betterment,1.0
bewail,-1.0
beware,-0.5
bewilder,-0.6
bewildered,-0.5
bewildering,-0.6
bewilderingly,-0.6
bewilderment,-0.5
bias,-0.75
biased,-1.0
bicker,-0.8
bickering,-0.5
biding,-0.25
big,0.25
bigot,-1.0
bigoted,-1.0
bigotry,-1.0
bile,-0.5
bilingual,0.4
biopsy,-0.6
birth,0.6
birthday,0.8
birthed,0.6
bitch,-1.0
bitches,-0.5
bitchy,-0.5
bite,-0.6
bitter,-0.5
bitterly,-1.0
bitterness,-0.75
bizarre,-0.75
blab,-0.8
blabber,-0.8
black,-0.25
blackened,-0.6
blackmail,-0.5
blackness,-0.25
blackout,-0.25
blah,-0.5
blame,-0.75
blamed,-0.5
blameful,-1.0
blameless,0.5
blames,-1.0
blameworthy,-1.0
blaming,-1.0
blanch,-0.25
bland,-0.5
blankly,-0.4
blare,-0.6
blaspheme,-0.5
blasphemer,-1.0
blasphemous,-0.5
blasphemy,-0.5
blast,-0.4
blasted,-0.4
blasts,-0.4
blatant,-0.5
blatantly,-0.25
blather,-0.5
blaze,-0.25
blazing,-0.25
bleak,-0.5
bleakly,-1.0
bleakness,-1.0
bled,-1.0
bleed,-0.5
bleeding,-0.5
bleeds,-0.5
blemish,-0.5
bless,1.0
blessed,1.0
blesses,0.8
blessing,0.75
blessings,0.5
blight,-1.0
blighted,-1.0
blind,-0.75
blinded,-1.0
blindfolded,-0.6
blinding,-0.8
blindingly,-0.8
blindly,-1.0
blindness,-0.8
blindside,-0.6
bliss,0.75
blissful,0.75
blissfully,1.0
blister,-0.5
blistering,-0.5
blithe,0.5
bloat,-0.6
bloated,-0.75
blob,-0.25
block,-0.4
blockade,-0.6
blockage,-0.6
blockbuster,0.5
blocked,-0.4
blockhead,-0.8
blocking,-0.5
blocks,-0.6
bloodless,-0.4
bloodshed,-0.75
bloodshot,-0.8
bloodthirsty,-0.5
bloody,-0.75
bloomed,0.8
blossom,0.5
blossoming,0.8
blot,-0.25
blow,-0.4
blowhards,-0.8
blowout,-0.6
blubbery,-0.6
bluff,-0.4
blunder,-0.5
blundering,-1.0
blunders,-1.0
blunt,-0.5
blur,-0.5
blurred,-0.5
blurring,-0.4
blurry,-0.5
blurs,-0.5
blurt,-0.4
blurting,-0.4
blush,0.6
boastful,-0.5
bodyguard,-0.25
bog,-0.5
bogus,-0.75
bohemian,0.6
boilerplate,-0.25
bold,0.25
boldly,0.25
boldness,0.6
bolster,0.25
bomb,-0.75
bombard,-0.5
bombardiers,-0.4
bombardment,-0.5
bombastic,-0.6
bombed,-1.0
bombers,-0.6
bombing,-1.0
bonanza,0.8
bondage,-0.5
bonkers,-0.4
bonus,0.5
bonuses,0.8
boob,-0.25
booby,-0.5
bookish,0.6
boom,-0.4
booming,-0.25
boon,0.6
boost,0.5
boosted,0.25
boosting,0.25
boosts,0.25
booze,-0.25
bore,-0.75
bored,-0.5
boredom,-0.5
boring,-1.0
borrower,-0.25
bossed,-0.6
bossy,-1.0
botch,-1.0
botched,-1.0
botching,-1.0
bother,-0.75
bothered,-0.5
bothering,-0.75
bothers,-0.5
bothersome,-0.5
botox,-0.4
bottomless,-0.25
bound,-0.25
boundless,0.4
bountiful,0.5
bounty,0.5
bouquet,0.8
bout,-0.6
bouts,-0.6
bowed,-0.25
bowels,-0.4
boy,0.25
boycott,-0.75
boycotted,-0.8
boycotting,-0.8
boycotts,-0.8
boyish,0.6
bracing,-0.25
brackish,-0.25
brag,-0.25
braggart,-0.8
bragger,-0.8
brainiest,0.6
brainless,-0.5
brains,0.6
brainstorms,0.6
brainwash,-1.0
brainwashing,-1.0
brainy,0.4
brandishing,-0.6
brash,-0.5
brashly,-1.0
brashness,-1.0
brat,-1.0
bratty,-1.0
bravado,-0.5
brave,0.5
bravely,1.0
bravery,0.5
bravo,1.0
brawl,-0.5
brazen,-0.5
brazenly,-0.25
brazenness,-0.25
breach,-0.75
break,-0.25
breakdown,-0.75
breakfast,0.6
breaking,-0.6
breakneck,-0.25
breaks,-0.4
breakthrough,0.5
breakthroughs,0.8
breakup,-0.75
breakups,-0.5
breathtaking,0.5
breathtakingly,1.0
breeze,0.1
bribe,-0.75
bribery,-0.5
bridal,0.6
bride,0.6
bridegroom,0.6
bridesmaid,0.6
brigade,-0.25
bright,0.5
brighten,0.5
brightened,1.0
brightens,1.0
brighter,0.6
brightest,0.75
brightly,0.6
brightness,0.5
brilliance,0.5
brilliances,0.8
brilliant,1.0
brilliantly,1.0
brimstone,-0.5
brisk,0.5
bristle,-0.5
bristled,-0.6
brittle,-0.6
broader,0.4
broadly,0.4
broke,-0.75
broken,-0.75
brokenhearted,-0.6
brokering,-0.25
brood,-0.6
brooding,-0.8
brothel,-0.8
brother,0.4
brotherhood,1.0
brotherhoods,0.1
brotherly,0.75
browbeat,-1.0
browse,0.4
bruise,-0.5
bruised,-0.5
bruises,-0.5
bruising,-1.0
brunt,-0.6
brusque,-0.8
brutal,-0.5
brutalising,-1.0
brutalities,-1.0
brutality,-0.75
brutalize,-1.0
brutalizing,-1.0
brutally,-1.0
brute,-0.5
brutish,-1.0
buckled,-0.25
buddy,1.0
budge,-0.4
bug,-0.5
bugging,-0.5
build,0.1
building,0.1
bulged,-0.25
bulging,-0.4
bulletproof,0.5
bullied,-0.5
bullies,-1.0
bullish,-0.8
bullshit,-0.5
bully,-0.75
bullying,-0.75
bum,-0.5
bummer,-0.5
bumpy,-0.5
bungle,-0.8
bungler,-0.8
bungling,-0.8
bunk,-0.25
buoyant,0.5
burden,-0.75
burdened,-1.0
burdening,-1.0
burdens,-0.5
burdensome,-0.5
burgeoned,0.4
burglar,-1.0
burglary,-1.0
burial,-0.5
buried,-0.6
burn,-0.4
burned,-0.6
burning,-0.4
burns,-0.4
burnt,-0.5
burrowing,-0.25
burying,-0.25
bust,-0.25
busted,-0.8
busts,-0.25
butcher,-0.5
butchery,-0.8
butler,0.4
butt,-0.25
buttery,0.6
butting,-0.6
buxom,0.25
buzz,0.25
cacophony,-0.25
cad,-0.4
cadaver,-0.6
cage,-0.6
caged,-0.8
cagey,-0.6
caked,-0.25
calamities,-1.0
calamitous,-1.0
calamitously,-1.0
calamity,-1.0
calculating,-0.25
calculation,0.25
calibrated,0.25
callous,-0.5
calloused,-0.8
calm,0.75
calmed,1.0
calming,0.5
calmness,1.0
calms,1.0
cameos,0.4
campaigning,-0.25
camping,0.1
campus,0.25
cancel,-0.75
cancelled,-0.8
cancelling,-0.8
cancels,-0.8
cancer,-0.75
cancerous,-1.0
candid,0.6
candidate,0.25
candied,0.6
candlelit,0.6
canker,-1.0
cannibal,-0.5
cannibalism,-1.0
cannibalistically,-1.0
cannibalize,-1.0
cannon,-0.4
canon,-0.25
capabilities,0.25
capability,0.6
capable,0.5
capably,1.0
capitulate,-0.6
capricious,-0.4
capriciously,-0.4
capriciousness,-0.4
captivate,0.5
captivated,0.4
captivating,0.5
captive,-0.5
captives,-0.6
captivity,-0.6
captor,-0.5
captors,-0.6
capture,-0.6
carcass,-1.0
care,1.0
careers,0.25
carefree,0.5
careful,0.25
carefully,0.25
careless,-0.5
carelessness,-0.5
cares,1.0
caress,0.8
caressing,0.8
caretaker,0.1
caricature,-0.75
carnage,-0.75
carnal,-0.4
carousing,0.1
cartel,-0.25
cartridge,-0.25
cash,0.4
cashback,0.8
casino,-0.25
casket,-0.25
caste,-0.25
castigate,-1.0
casualty,-0.75
cataclysm,-1.0
cataclysmal,-1.0
cataclysmic,-1.0
cataclysmically,-1.0
cataract,-0.6
catastrophe,-0.75
catastrophes,-1.0
catastrophic,-0.5
catastrophically,-1.0
catchy,0.8
cater,-0.1
cathartic,1.0
catheter,-0.6
catlike,0.25
caution,-0.25
cautionary,-0.4
caved,-0.4
cavern,-0.25
cavernous,-0.4
cavity,-0.4
cede,-0.25
celebrate,0.5
celebrated,1.0
celebrates,0.8
celebrating,0.75
celebration,0.75
celebratory,0.8
celestial,0.4
cellular,0.25
cemetery,-0.5
censor,-0.5
censored,-0.8
censors,-0.8
censure,-0.5
center,0.25
cerebral,0.1
ceremony,0.6
certain,0.8
certainty,0.8
certificate,0.6
cessation,-0.4
chaff,-0.5
chafing,-1.0
chagrin,-0.75
chagrined,-1.0
chained,-0.6
chairman,0.25
chairwoman,0.25
challenge,-0.25
champ,1.0
champion,0.5
chance,0.25
chances,0.25
chaos,-0.75
chaotic,-0.75
chapped,-1.0
charade,-0.25
chargeable,-0.25
charisma,1.0
charismatic,1.0
charitable,0.5
charity,0.8
charm,0.75
charming,1.0
charmingly,1.0
charmless,-0.6
chaste,1.0
chasten,-0.4
chastise,-0.5
chastised,-1.0
chastisement,-0.5
chastises,-1.0
chastising,-1.0
chastity,0.25
chatter,-0.25
chattering,-0.25
chatty,-0.25
chauffeured,0.25
cheap,-0.5
cheapen,-0.8
cheaply,-0.4
cheat,-0.75
cheated,-0.5
cheater,-0.75
cheaters,-0.5
cheating,-1.0
cheats,-0.75
checklist,0.1
cheer,0.75
cheered,0.8
cheerful,0.75
cheerfully,1.0
cheerfulness,1.0
cheering,0.5
cheerless,-0.5
cheers,1.0
cheery,1.0
cheesy,0.25
cherish,0.75
cherished,0.5
cherishes,1.0
cherishing,1.0
cherub,0.6
chic,0.5
chide,-1.0
chieftain,0.25
child,0.6
childhood,0.6
childish,-0.75
childlike,0.6
chill,-0.1
chilling,-0.4
chilly,-0.5
chintzy,-0.8
chivalrous,0.8
chloroform,-0.6
chocolate,0.6
chocolates,0.6
choice,0.4
choir,0.4
choke,-0.75
choked,-1.0
chokes,-1.0
choking,-0.5
cholera,-0.25
cholesterol,-0.25
chop,-0.25
chopped,-0.25
choral,0.4
chore,-0.5
chorus,0.25
chosen,0.6
chronic,-0.5
chronicle,0.1
chuckle,0.5
church,0.1
cigarette,-0.25
circus,0.1
citywide,-0.25
civil,0.8
civility,0.75
civilization,0.6
civilize,0.25
civilized,1.0
clairvoyant,0.25
clambering,-0.25
clamor,-0.5
clamoring,-0.6
clamped,-0.4
clamping,-0.4
clanks,-0.25
clap,0.25
clapped,0.25
clarifies,0.8
clarify,0.8
clarity,0.5
clash,-0.75
clashes,-0.8
clashing,-1.0
clasp,-0.25
classic,0.5
classical,0.6
classics,0.8
classify,0.4
classy,0.75
claustrophobic,-1.0
claw,-0.6
clean,0.75
cleaner,0.5
cleanest,0.8
cleaning,0.6
cleanliness,0.5
cleanly,0.5
cleans,0.6
cleanse,0.8
cleansing,0.5
clear,0.5
clearance,0.4
clearcut,0.8
cleared,0.5
clearer,0.8
clearly,0.5
clearness,0.8
clears,0.5
clerical,-0.25
clever,0.75
cleverest,0.8
cleverly,0.8
cleverness,0.8
cliche,-0.5
cliched,-0.5
climax,0.8
cling,-0.4
clingy,-1.0
clique,-0.5
clods,-0.4
clog,-0.6
clogged,-0.5
clogging,-0.6
clomped,-0.6
closeness,0.25
clot,-0.4
clothe,0.6
clotting,-0.4
cloud,-0.25
clouded,-0.5
cloudiness,-0.25
clouding,-0.25
cloudy,-0.25
clown,0.1
clubbed,-0.25
clubhouse,0.6
clueless,-0.5
clump,-0.25
clumped,-0.4
clumsy,-0.75
clunky,-0.4
clusters,-0.25
coalition,0.1
coarse,-0.6
coast,0.6
cocaine,-0.25
cock,-0.25
cocksucker,-1.0
cocksuckers,-1.0
cocky,-0.75
coddled,-0.25
codebreaker,0.25
coerce,-0.5
coerced,-1.0
coercion,-0.5
coercive,-1.0
coexist,0.8
coffin,-0.6
cogent,0.4
cognitive,0.4
cognoscenti,0.25
cohere,0.4
coherence,0.5
coherent,0.75
cohesive,0.5
cold,-0.5
coldly,-0.75
coldness,-0.5
colic,-0.25
collapse,-0.75
collapsed,-0.8
collapses,-0.8
collapsing,-0.5
collective,-0.25
collectively,0.1
collide,-0.5
collides,-0.25
colliding,-0.25
collision,-0.5
collisions,-0.25
collude,-0.6
colluded,-0.6
colluding,-0.6
collusion,-0.5
colorful,0.6
colorless,-0.25
coma,-1.0
comatose,-1.0
combat,-0.5
combatant,-0.6
combative,-0.5
