term_str,bing_negative,bing_positive,bing_sentiment
adulterated,1,0,-1
adulteration,1,0,-1
adulterier,1,0,-1
advanced,0,1,1
advantage,0,1,1
advantageous,0,1,1
advantageously,0,1,1
advantages,0,1,1
adventuresome,0,1,1
adventurous,0,1,1
adversarial,1,0,-1
adversary,1,0,-1
adverse,1,0,-1
adversity,1,0,-1
advocate,0,1,1
advocated,0,1,1
advocates,0,1,1
affability,0,1,1
affable,0,1,1
affably,0,1,1
affectation,0,1,1
affection,0,1,1
affectionate,0,1,1
affinity,0,1,1
affirm,0,1,1
affirmation,0,1,1
affirmative,0,1,1
afflict,1,0,-1
affliction,1,0,-1
afflictive,1,0,-1
affluence,0,1,1
affluent,0,1,1
afford,0,1,1
affordable,0,1,1
affordably,0,1,1
affront,1,0,-1
afordable,0,1,1
afraid,1,0,-1
aggravate,1,0,-1
aggravating,1,0,-1
aggravation,1,0,-1
aggression,1,0,-1
aggressive,1,0,-1
aggressiveness,1,0,-1
aggressor,1,0,-1
aggrieve,1,0,-1
aggrieved,1,0,-1
aggrivation,1,0,-1
aghast,1,0,-1
agile,0,1,1
agilely,0,1,1
agility,0,1,1
agonies,1,0,-1
agonize,1,0,-1
agonizing,1,0,-1
agonizingly,1,0,-1
agony,1,0,-1
agreeable,0,1,1
agreeableness,0,1,1
agreeably,0,1,1
aground,1,0,-1
ail,1,0,-1
ailing,1,0,-1
ailment,1,0,-1
aimless,1,0,-1
alarm,1,0,-1
alarmed,1,0,-1
alarming,1,0,-1
alarmingly,1,0,-1
alienate,1,0,-1
alienated,1,0,-1
alienation,1,0,-1
allegation,1,0,-1
allegations,1,0,-1
allege,1,0,-1
allergic,1,0,-1
allergies,1,0,-1
allergy,1,0,-1
alluring,0,1,1
alluringly,0,1,1
aloof,1,0,-1
altercation,1,0,-1
altruistic,0,1,1
altruistically,0,1,1
amaze,0,1,1
amazed,0,1,1
amazement,0,1,1
amazes,0,1,1
amazing,0,1,1
amazingly,0,1,1
ambiguity,1,0,-1
ambiguous,1,0,-1
ambitious,0,1,1
ambitiously,0,1,1
ambivalence,1,0,-1
ambivalent,1,0,-1
ambush,1,0,-1
ameliorate,0,1,1
amenable,0,1,1
amenity,0,1,1
amiability,0,1,1
amiabily,0,1,1
amiable,0,1,1
amicability,0,1,1
amicable,0,1,1
amicably,0,1,1
amiss,1,0,-1
amity,0,1,1
ample,0,1,1
amply,0,1,1
amputate,1,0,-1
amuse,0,1,1
amusing,0,1,1
amusingly,0,1,1
anarchism,1,0,-1
anarchist,1,0,-1
anarchistic,1,0,-1
anarchy,1,0,-1
anemic,1,0,-1
angel,0,1,1
angelic,0,1,1
anger,1,0,-1
angrily,1,0,-1
angriness,1,0,-1
angry,1,0,-1
anguish,1,0,-1
animosity,1,0,-1
annihilate,1,0,-1
annihilation,1,0,-1
annoy,1,0,-1
annoyance,1,0,-1
annoyances,1,0,-1
annoyed,1,0,-1
annoying,1,0,-1
annoyingly,1,0,-1
annoys,1,0,-1
anomalous,1,0,-1
anomaly,1,0,-1
antagonism,1,0,-1
antagonist,1,0,-1
antagonistic,1,0,-1
antagonize,1,0,-1
antipathy,1,0,-1
antiquated,1,0,-1
antithetical,1,0,-1
anxieties,1,0,-1
anxiety,1,0,-1
anxious,1,0,-1
anxiously,1,0,-1
anxiousness,1,0,-1
apathetic,1,0,-1
apathetically,1,0,-1
apathy,1,0,-1
apocalypse,1,0,-1
apocalyptic,1,0,-1
apologist,1,0,-1
apologists,1,0,-1
apotheosis,0,1,1
appal,1,0,-1
appall,1,0,-1
appalled,1,0,-1
appalling,1,0,-1
appallingly,1,0,-1
appeal,0,1,1
appealing,0,1,1
applaud,0,1,1
appreciable,0,1,1
appreciate,0,1,1
appreciated,0,1,1
appreciates,0,1,1
appreciative,0,1,1
appreciatively,0,1,1
apprehension,1,0,-1
apprehensions,1,0,-1
apprehensive,1,0,-1
apprehensively,1,0,-1
appropriate,0,1,1
approval,0,1,1
approve,0,1,1
arbitrary,1,0,-1
arcane,1,0,-1
archaic,1,0,-1
ardent,0,1,1
ardently,0,1,1
ardor,0,1,1
arduous,1,0,-1
arduously,1,0,-1
argumentative,1,0,-1
arrogance,1,0,-1
arrogant,1,0,-1
arrogantly,1,0,-1
articulate,0,1,1
ashamed,1,0,-1
asinine,1,0,-1
asininely,1,0,-1
asinininity,1,0,-1
askance,1,0,-1
asperse,1,0,-1
aspersion,1,0,-1
aspersions,1,0,-1
aspiration,0,1,1
aspirations,0,1,1
aspire,0,1,1
assail,1,0,-1
assassin,1,0,-1
assassinate,1,0,-1
assault,1,0,-1
assult,1,0,-1
assurance,0,1,1
assurances,0,1,1
assure,0,1,1
assuredly,0,1,1
assuring,0,1,1
astonish,0,1,1
astonished,0,1,1
astonishing,0,1,1
astonishingly,0,1,1
astonishment,0,1,1
astound,0,1,1
astounded,0,1,1
astounding,0,1,1
astoundingly,0,1,1
astray,1,0,-1
astutely,0,1,1
asunder,1,0,-1
atrocious,1,0,-1
atrocities,1,0,-1
atrocity,1,0,-1
atrophy,1,0,-1
attack,1,0,-1
attacks,1,0,-1
attentive,0,1,1
attraction,0,1,1
attractive,0,1,1
attractively,0,1,1
attune,0,1,1
audacious,1,0,-1
audaciously,1,0,-1
audaciousness,1,0,-1
audacity,1,0,-1
audible,0,1,1
audibly,0,1,1
audiciously,1,0,-1
auspicious,0,1,1
austere,1,0,-1
authentic,0,1,1
authoritarian,1,0,-1
authoritative,0,1,1
autocrat,1,0,-1
autocratic,1,0,-1
autonomous,0,1,1
available,0,1,1
avalanche,1,0,-1
avarice,1,0,-1
avaricious,1,0,-1
avariciously,1,0,-1
avenge,1,0,-1
aver,0,1,1
averse,1,0,-1
aversion,1,0,-1
avid,0,1,1
avidly,0,1,1
award,0,1,1
awarded,0,1,1
awards,0,1,1
awe,0,1,1
awed,0,1,1
aweful,1,0,-1
awesome,0,1,1
awesomely,0,1,1
awesomeness,0,1,1
awestruck,0,1,1
awful,1,0,-1
awfully,1,0,-1
awfulness,1,0,-1
awkward,1,0,-1
awkwardness,1,0,-1
awsome,0,1,1
ax,1,0,-1
babble,1,0,-1
backache,1,0,-1
backaches,1,0,-1
backaching,1,0,-1
backbite,1,0,-1
backbiting,1,0,-1
backbone,0,1,1
backward,1,0,-1
backwardness,1,0,-1
backwood,1,0,-1
backwoods,1,0,-1
bad,1,0,-1
badly,1,0,-1
baffle,1,0,-1
baffled,1,0,-1
bafflement,1,0,-1
baffling,1,0,-1
bait,1,0,-1
balanced,0,1,1
balk,1,0,-1
banal,1,0,-1
banalize,1,0,-1
bane,1,0,-1
banish,1,0,-1
banishment,1,0,-1
bankrupt,1,0,-1
barbarian,1,0,-1
barbaric,1,0,-1
barbarically,1,0,-1
barbarity,1,0,-1
barbarous,1,0,-1
barbarously,1,0,-1
bargain,0,1,1
barren,1,0,-1
baseless,1,0,-1
bash,1,0,-1
bashed,1,0,-1
bashful,1,0,-1
bashing,1,0,-1
bastard,1,0,-1
bastards,1,0,-1
battered,1,0,-1
battering,1,0,-1
batty,1,0,-1
bearish,1,0,-1
beastly,1,0,-1
beauteous,0,1,1
beautiful,0,1,1
beautifullly,0,1,1
beautifully,0,1,1
beautify,0,1,1
beauty,0,1,1
beckon,0,1,1
beckoned,0,1,1
beckoning,0,1,1
beckons,0,1,1
bedlam,1,0,-1
bedlamite,1,0,-1
befoul,1,0,-1
beg,1,0,-1
beggar,1,0,-1
beggarly,1,0,-1
begging,1,0,-1
beguile,1,0,-1
belabor,1,0,-1
belated,1,0,-1
beleaguer,1,0,-1
belie,1,0,-1
believable,0,1,1
believeable,0,1,1
belittle,1,0,-1
belittled,1,0,-1
belittling,1,0,-1
bellicose,1,0,-1
belligerence,1,0,-1
belligerent,1,0,-1
belligerently,1,0,-1
beloved,0,1,1
bemoan,1,0,-1
bemoaning,1,0,-1
bemused,1,0,-1
benefactor,0,1,1
beneficent,0,1,1
beneficial,0,1,1
beneficially,0,1,1
beneficiary,0,1,1
benefit,0,1,1
benefits,0,1,1
benevolence,0,1,1
benevolent,0,1,1
benifits,0,1,1
bent,1,0,-1
berate,1,0,-1
bereave,1,0,-1
bereavement,1,0,-1
bereft,1,0,-1
berserk,1,0,-1
beseech,1,0,-1
beset,1,0,-1
besiege,1,0,-1
besmirch,1,0,-1
best,0,1,1
bestial,1,0,-1
betray,1,0,-1
betrayal,1,0,-1
betrayals,1,0,-1
betrayer,1,0,-1
betraying,1,0,-1
betrays,1,0,-1
better,0,1,1
beutifully,0,1,1
bewail,1,0,-1
beware,1,0,-1
bewilder,1,0,-1
bewildered,1,0,-1
bewildering,1,0,-1
bewilderingly,1,0,-1
bewilderment,1,0,-1
bewitch,1,0,-1
bias,1,0,-1
biased,1,0,-1
biases,1,0,-1
bicker,1,0,-1
bickering,1,0,-1
bigotries,1,0,-1
bigotry,1,0,-1
bitch,1,0,-1
bitchy,1,0,-1
biting,1,0,-1
bitingly,1,0,-1
bitter,1,0,-1
bitterly,1,0,-1
bitterness,1,0,-1
bizarre,1,0,-1
blab,1,0,-1
blabber,1,0,-1
blackmail,1,0,-1
blah,1,0,-1
blame,1,0,-1
blameless,0,1,1
blameworthy,1,0,-1
bland,1,0,-1
blandish,1,0,-1
blaspheme,1,0,-1
blasphemous,1,0,-1
blasphemy,1,0,-1
blasted,1,0,-1
blatant,1,0,-1
blatantly,1,0,-1
blather,1,0,-1
bleak,1,0,-1
bleakly,1,0,-1
bleakness,1,0,-1
bleed,1,0,-1
bleeding,1,0,-1
bleeds,1,0,-1
blemish,1,0,-1
bless,0,1,1
blessing,0,1,1
blind,1,0,-1
blinding,1,0,-1
blindingly,1,0,-1
blindside,1,0,-1
bliss,0,1,1
blissful,0,1,1
blissfully,0,1,1
blister,1,0,-1
blistering,1,0,-1
blithe,0,1,1
bloated,1,0,-1
blockage,1,0,-1
blockbuster,0,1,1
blockhead,1,0,-1
bloodshed,1,0,-1
bloodthirsty,1,0,-1
bloody,1,0,-1
bloom,0,1,1
blossom,0,1,1
blotchy,1,0,-1
blow,1,0,-1
blunder,1,0,-1
blundering,1,0,-1
blunders,1,0,-1
blunt,1,0,-1
blur,1,0,-1
bluring,1,0,-1
blurred,1,0,-1
blurring,1,0,-1
blurry,1,0,-1
blurs,1,0,-1
blurt,1,0,-1
boastful,1,0,-1
boggle,1,0,-1
bogus,1,0,-1
boil,1,0,-1
boiling,1,0,-1
boisterous,1,0,-1
bolster,0,1,1
bomb,1,0,-1
bombard,1,0,-1
bombardment,1,0,-1
bombastic,1,0,-1
bondage,1,0,-1
bonkers,1,0,-1
bonny,0,1,1
bonus,0,1,1
bonuses,0,1,1
boom,0,1,1
booming,0,1,1
boost,0,1,1
bore,1,0,-1
bored,1,0,-1
boredom,1,0,-1
bores,1,0,-1
boring,1,0,-1
botch,1,0,-1
bother,1,0,-1
bothered,1,0,-1
bothering,1,0,-1
bothers,1,0,-1
bothersome,1,0,-1
boundless,0,1,1
bountiful,0,1,1
bowdlerize,1,0,-1
boycott,1,0,-1
braggart,1,0,-1
bragger,1,0,-1
brainiest,0,1,1
brainless,1,0,-1
brainwash,1,0,-1
brainy,0,1,1
brash,1,0,-1
brashly,1,0,-1
brashness,1,0,-1
brat,1,0,-1
bravado,1,0,-1
brave,0,1,1
bravery,0,1,1
bravo,0,1,1
brazen,1,0,-1
brazenly,1,0,-1
brazenness,1,0,-1
breach,1,0,-1
break,1,0,-1
breakdown,1,0,-1
breaking,1,0,-1
breaks,1,0,-1
breakthrough,0,1,1
breakthroughs,0,1,1
breakup,1,0,-1
breakups,1,0,-1
breathlessness,0,1,1
breathtaking,0,1,1
breathtakingly,0,1,1
breeze,0,1,1
bribery,1,0,-1
bright,0,1,1
brighten,0,1,1
brighter,0,1,1
brightest,0,1,1
brilliance,0,1,1
brilliances,0,1,1
brilliant,0,1,1
brilliantly,0,1,1
brimstone,1,0,-1
brisk,0,1,1
bristle,1,0,-1
brittle,1,0,-1
broke,1,0,-1
broken,1,0,-1
brood,1,0,-1
brotherly,0,1,1
browbeat,1,0,-1
bruise,1,0,-1
bruised,1,0,-1
bruises,1,0,-1
bruising,1,0,-1
brusque,1,0,-1
brutal,1,0,-1
brutalising,1,0,-1
brutalities,1,0,-1
brutality,1,0,-1
brutalize,1,0,-1
brutalizing,1,0,-1
brutally,1,0,-1
brute,1,0,-1
brutish,1,0,-1
bs,1,0,-1
buckle,1,0,-1
bug,1,0,-1
bugging,1,0,-1
buggy,1,0,-1
bugs,1,0,-1
bulkier,1,0,-1
bulkiness,1,0,-1
bulky,1,0,-1
bulkyness,1,0,-1
bullies,1,0,-1
bullish,0,1,1
bullshit,1,0,-1
bullshyt,1,0,-1
bully,1,0,-1
bullying,1,0,-1
bullyingly,1,0,-1
bum,1,0,-1
bump,1,0,-1
bumped,1,0,-1
bumping,1,0,-1
bumpping,1,0,-1
bumps,1,0,-1
bumpy,1,0,-1
bungle,1,0,-1
bungler,1,0,-1
bungling,1,0,-1
bunk,1,0,-1
buoyant,0,1,1
burden,1,0,-1
burdensome,1,0,-1
burdensomely,1,0,-1
burn,1,0,-1
burned,1,0,-1
burning,1,0,-1
burns,1,0,-1
bust,1,0,-1
busts,1,0,-1
busybody,1,0,-1
butcher,1,0,-1
butchery,1,0,-1
buzzing,1,0,-1
byzantine,1,0,-1
cackle,1,0,-1
cajole,0,1,1
calamities,1,0,-1
calamitous,1,0,-1
calamitously,1,0,-1
calamity,1,0,-1
callous,1,0,-1
calm,0,1,1
calming,0,1,1
calmness,0,1,1
calumniate,1,0,-1
calumniation,1,0,-1
calumnies,1,0,-1
calumnious,1,0,-1
calumniously,1,0,-1
calumny,1,0,-1
cancer,1,0,-1
cancerous,1,0,-1
cannibal,1,0,-1
cannibalize,1,0,-1
capability,0,1,1
capable,0,1,1
capably,0,1,1
capitulate,1,0,-1
capricious,1,0,-1
capriciously,1,0,-1
capriciousness,1,0,-1
capsize,1,0,-1
captivate,0,1,1
captivating,0,1,1
carefree,0,1,1
careless,1,0,-1
carelessness,1,0,-1
caricature,1,0,-1
carnage,1,0,-1
carp,1,0,-1
cartoonish,1,0,-1
cashback,0,1,1
cashbacks,0,1,1
castigate,1,0,-1
castrated,1,0,-1
casualty,1,0,-1
cataclysm,1,0,-1
cataclysmal,1,0,-1
cataclysmic,1,0,-1
cataclysmically,1,0,-1
catastrophe,1,0,-1
catastrophes,1,0,-1
catastrophic,1,0,-1
catastrophically,1,0,-1
catastrophies,1,0,-1
catchy,0,1,1
caustic,1,0,-1
caustically,1,0,-1
cautionary,1,0,-1
cave,1,0,-1
celebrate,0,1,1
celebrated,0,1,1
celebration,0,1,1
celebratory,0,1,1
censure,1,0,-1
chafe,1,0,-1
chaff,1,0,-1
chagrin,1,0,-1
challenging,1,0,-1
champ,0,1,1
champion,0,1,1
chaos,1,0,-1
chaotic,1,0,-1
charisma,0,1,1
charismatic,0,1,1
charitable,0,1,1
charm,0,1,1
charming,0,1,1
charmingly,0,1,1
chaste,0,1,1
chasten,1,0,-1
chastise,1,0,-1
chastisement,1,0,-1
chatter,1,0,-1
chatterbox,1,0,-1
cheap,1,0,-1
cheapen,1,0,-1
cheaper,0,1,1
cheapest,0,1,1
cheaply,1,0,-1
cheat,1,0,-1
cheated,1,0,-1
cheater,1,0,-1
cheating,1,0,-1
cheats,1,0,-1
checkered,1,0,-1
cheer,0,1,1
cheerful,0,1,1
cheerless,1,0,-1
cheery,0,1,1
cheesy,1,0,-1
cherish,0,1,1
cherished,0,1,1
cherub,0,1,1
chic,0,1,1
chide,1,0,-1
childish,1,0,-1
chill,1,0,-1
chilly,1,0,-1
chintzy,1,0,-1
chivalrous,0,1,1
chivalry,0,1,1
choke,1,0,-1
choleric,1,0,-1
choppy,1,0,-1
chore,1,0,-1
chronic,1,0,-1
chunky,1,0,-1
civility,0,1,1
civilize,0,1,1
clamor,1,0,-1
clamorous,1,0,-1
clarity,0,1,1
clash,1,0,-1
classic,0,1,1
classy,0,1,1
clean,0,1,1
cleaner,0,1,1
cleanest,0,1,1
cleanliness,0,1,1
cleanly,0,1,1
clear,0,1,1
cleared,0,1,1
clearer,0,1,1
clearly,0,1,1
clears,0,1,1
clever,0,1,1
cleverly,0,1,1
cliche,1,0,-1
cliched,1,0,-1
clique,1,0,-1
clog,1,0,-1
clogged,1,0,-1
clogs,1,0,-1
cloud,1,0,-1
clouding,1,0,-1
cloudy,1,0,-1
clueless,1,0,-1
clumsy,1,0,-1
clunky,1,0,-1
coarse,1,0,-1
cocky,1,0,-1
coerce,1,0,-1
coercion,1,0,-1
coercive,1,0,-1
cohere,0,1,1
coherence,0,1,1
coherent,0,1,1
cohesive,0,1,1
cold,1,0,-1
coldly,1,0,-1
collapse,1,0,-1
collude,1,0,-1
collusion,1,0,-1
colorful,0,1,1
combative,1,0,-1
combust,1,0,-1
comely,0,1,1
comfort,0,1,1
comfortable,0,1,1
comfortably,0,1,1
comforting,0,1,1
comfy,0,1,1
comical,1,0,-1
commend,0,1,1
commendable,0,1,1
commendably,0,1,1
commiserate,1,0,-1
commitment,0,1,1
commodious,0,1,1
commonplace,1,0,-1
commotion,1,0,-1
commotions,1,0,-1
compact,0,1,1
compactly,0,1,1
compassion,0,1,1
compassionate,0,1,1
compatible,0,1,1
competitive,0,1,1
complacent,1,0,-1
complain,1,0,-1
complained,1,0,-1
complaining,1,0,-1
complains,1,0,-1
complaint,1,0,-1
complaints,1,0,-1
complement,0,1,1
complementary,0,1,1
complemented,0,1,1
complements,0,1,1
complex,1,0,-1
compliant,0,1,1
complicated,1,0,-1
complication,1,0,-1
complicit,1,0,-1
compliment,0,1,1
complimentary,0,1,1
comprehensive,0,1,1
compulsion,1,0,-1
compulsive,1,0,-1
concede,1,0,-1
conceded,1,0,-1
conceit,1,0,-1
conceited,1,0,-1
concen,1,0,-1
concens,1,0,-1
concern,1,0,-1
concerned,1,0,-1
concerns,1,0,-1
concession,1,0,-1
concessions,1,0,-1
conciliate,0,1,1
conciliatory,0,1,1
concise,0,1,1
condemn,1,0,-1
condemnable,1,0,-1
condemnation,1,0,-1
condemned,1,0,-1
condemns,1,0,-1
condescend,1,0,-1
condescending,1,0,-1
condescendingly,1,0,-1
condescension,1,0,-1
confess,1,0,-1
confession,1,0,-1
confessions,1,0,-1
confidence,0,1,1
confident,0,1,1
confined,1,0,-1
conflict,1,0,-1
conflicted,1,0,-1
conflicting,1,0,-1
conflicts,1,0,-1
confound,1,0,-1
confounded,1,0,-1
confounding,1,0,-1
confront,1,0,-1
confrontation,1,0,-1
confrontational,1,0,-1
confuse,1,0,-1
confused,1,0,-1
confuses,1,0,-1
confusing,1,0,-1
confusion,1,0,-1
confusions,1,0,-1
congenial,0,1,1
congested,1,0,-1
congestion,1,0,-1
congratulate,0,1,1
congratulation,0,1,1
congratulations,0,1,1
congratulatory,0,1,1
cons,1,0,-1
conscientious,0,1,1
conscons,1,0,-1
conservative,1,0,-1
considerate,0,1,1
consistent,0,1,1
consistently,0,1,1
conspicuous,1,0,-1
conspicuously,1,0,-1
conspiracies,1,0,-1
conspiracy,1,0,-1
conspirator,1,0,-1
conspiratorial,1,0,-1
conspire,1,0,-1
consternation,1,0,-1
constructive,0,1,1
consummate,0,1,1
contagious,1,0,-1
contaminate,1,0,-1
contaminated,1,0,-1
contaminates,1,0,-1
contaminating,1,0,-1
contamination,1,0,-1
contempt,1,0,-1
contemptible,1,0,-1
contemptuous,1,0,-1
contemptuously,1,0,-1
contend,1,0,-1
contention,1,0,-1
contentious,1,0,-1
contentment,0,1,1
continuity,0,1,1
contort,1,0,-1
contortions,1,0,-1
contradict,1,0,-1
contradiction,1,0,-1
contradictory,1,0,-1
contrariness,1,0,-1
contrasty,0,1,1
contravene,1,0,-1
contribution,0,1,1
contrive,1,0,-1
contrived,1,0,-1
controversial,1,0,-1
controversy,1,0,-1
convenience,0,1,1
convenient,0,1,1
conveniently,0,1,1
convience,0,1,1
convienient,0,1,1
convient,0,1,1
convincing,0,1,1
convincingly,0,1,1
convoluted,1,0,-1
cool,0,1,1
coolest,0,1,1
cooperative,0,1,1
cooperatively,0,1,1
cornerstone,0,1,1
correct,0,1,1
correctly,0,1,1
corrode,1,0,-1
corrosion,1,0,-1
corrosions,1,0,-1
corrosive,1,0,-1
corrupt,1,0,-1
corrupted,1,0,-1
corrupting,1,0,-1
corruption,1,0,-1
corrupts,1,0,-1
corruptted,1,0,-1
costlier,1,0,-1
costly,1,0,-1
counterproductive,1,0,-1
coupists,1,0,-1
courage,0,1,1
courageous,0,1,1
courageously,0,1,1
courageousness,0,1,1
courteous,0,1,1
courtly,0,1,1
covenant,0,1,1
covetous,1,0,-1
coward,1,0,-1
cowardly,1,0,-1
cozy,0,1,1
crabby,1,0,-1
crack,1,0,-1
cracked,1,0,-1
cracks,1,0,-1
craftily,1,0,-1
craftly,1,0,-1
crafty,1,0,-1
cramp,1,0,-1
cramped,1,0,-1
cramping,1,0,-1
cranky,1,0,-1
crap,1,0,-1
crappy,1,0,-1
craps,1,0,-1
crash,1,0,-1
crashed,1,0,-1
crashes,1,0,-1
crashing,1,0,-1
crass,1,0,-1
craven,1,0,-1
cravenly,1,0,-1
craze,1,0,-1
crazily,1,0,-1
craziness,1,0,-1
crazy,1,0,-1
creak,1,0,-1
creaking,1,0,-1
creaks,1,0,-1
creative,0,1,1
credence,0,1,1
credible,0,1,1
credulous,1,0,-1
creep,1,0,-1
creeping,1,0,-1
creeps,1,0,-1
creepy,1,0,-1
crept,1,0,-1
crime,1,0,-1
criminal,1,0,-1
cringe,1,0,-1
cringed,1,0,-1
cringes,1,0,-1
cripple,1,0,-1
crippled,1,0,-1
cripples,1,0,-1
crippling,1,0,-1
crisis,1,0,-1
crisp,0,1,1
crisper,0,1,1
critic,1,0,-1
critical,1,0,-1
criticism,1,0,-1
criticisms,1,0,-1
criticize,1,0,-1
criticized,1,0,-1
criticizing,1,0,-1
critics,1,0,-1
cronyism,1,0,-1
crook,1,0,-1
crooked,1,0,-1
crooks,1,0,-1
crowded,1,0,-1
crowdedness,1,0,-1
crude,1,0,-1
cruel,1,0,-1
crueler,1,0,-1
cruelest,1,0,-1
cruelly,1,0,-1
cruelness,1,0,-1
cruelties,1,0,-1
cruelty,1,0,-1
crumble,1,0,-1
crumbling,1,0,-1
crummy,1,0,-1
crumple,1,0,-1
crumpled,1,0,-1
crumples,1,0,-1
crush,1,0,-1
crushed,1,0,-1
crushing,1,0,-1
cry,1,0,-1
culpable,1,0,-1
culprit,1,0,-1
cumbersome,1,0,-1
cunt,1,0,-1
cunts,1,0,-1
cuplrit,1,0,-1
cure,0,1,1
curse,1,0,-1
cursed,1,0,-1
curses,1,0,-1
curt,1,0,-1
cushy,0,1,1
cuss,1,0,-1
cussed,1,0,-1
cute,0,1,1
cuteness,0,1,1
cutthroat,1,0,-1
cynical,1,0,-1
cynicism,1,0,-1
damage,1,0,-1
damaged,1,0,-1
damages,1,0,-1
damaging,1,0,-1
damn,1,0,-1
damnable,1,0,-1
damnably,1,0,-1
damnation,1,0,-1
damned,1,0,-1
damning,1,0,-1
damper,1,0,-1
danger,1,0,-1
dangerous,1,0,-1
dangerousness,1,0,-1
danke,0,1,1
danken,0,1,1
daring,0,1,1
daringly,0,1,1
dark,1,0,-1
darken,1,0,-1
darkened,1,0,-1
darker,1,0,-1
darkness,1,0,-1
darling,0,1,1
dashing,0,1,1
dastard,1,0,-1
dastardly,1,0,-1
daunt,1,0,-1
daunting,1,0,-1
dauntingly,1,0,-1
dauntless,0,1,1
dawdle,1,0,-1
dawn,0,1,1
daze,1,0,-1
dazed,1,0,-1
dazzle,0,1,1
dazzled,0,1,1
dazzling,0,1,1
dead,1,0,-1
deadbeat,1,0,-1
deadlock,1,0,-1
deadly,1,0,-1
deadweight,1,0,-1
deaf,1,0,-1
dearth,1,0,-1
death,1,0,-1
debacle,1,0,-1
debase,1,0,-1
debasement,1,0,-1
debaser,1,0,-1
debatable,1,0,-1
debauch,1,0,-1
debaucher,1,0,-1
debauchery,1,0,-1
debilitate,1,0,-1
debilitating,1,0,-1
debility,1,0,-1
debt,1,0,-1
debts,1,0,-1
decadence,1,0,-1
decadent,1,0,-1
decay,1,0,-1
decayed,1,0,-1
deceit,1,0,-1
deceitful,1,0,-1
deceitfully,1,0,-1
deceitfulness,1,0,-1
deceive,1,0,-1
deceiver,1,0,-1
deceivers,1,0,-1
deceiving,1,0,-1
decency,0,1,1
decent,0,1,1
deception,1,0,-1
deceptive,1,0,-1
deceptively,1,0,-1
decisive,0,1,1
decisiveness,0,1,1
declaim,1,0,-1
decline,1,0,-1
declines,1,0,-1
declining,1,0,-1
decrement,1,0,-1
decrepit,1,0,-1
decrepitude,1,0,-1
decry,1,0,-1
dedicated,0,1,1
defamation,1,0,-1
defamations,1,0,-1
defamatory,1,0,-1
defame,1,0,-1
defeat,0,1,1
defeated,0,1,1
defeating,0,1,1
defeats,0,1,1
defect,1,0,-1
defective,1,0,-1
defects,1,0,-1
defender,0,1,1
defensive,1,0,-1
deference,0,1,1
defiance,1,0,-1
defiant,1,0,-1
defiantly,1,0,-1
deficiencies,1,0,-1
deficiency,1,0,-1
deficient,1,0,-1
defile,1,0,-1
defiler,1,0,-1
deform,1,0,-1
deformed,1,0,-1
defrauding,1,0,-1
deft,0,1,1
defunct,1,0,-1
defy,1,0,-1
degenerate,1,0,-1
degenerately,1,0,-1
