term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity
chairwoman,0,0,0,0,0,0,1,0,0,1,1
challenge,1,0,0,1,0,1,0,0,0,0,-1
champion,0,1,0,0,1,0,1,0,0,1,1
changeable,0,1,0,0,0,0,0,0,1,0,0
chant,1,1,0,0,1,0,1,0,1,0,1
chaos,1,0,0,1,0,1,0,1,0,0,-1
chaotic,1,0,0,0,0,1,0,0,0,0,-1
chargeable,0,0,0,1,0,1,0,1,0,0,-1
charitable,0,1,0,0,1,0,1,0,0,1,1
charity,0,0,0,0,1,0,1,0,0,0,1
charmed,0,0,0,0,1,1,1,0,0,0,0
chastity,0,1,0,0,0,0,1,0,0,1,1
cheat,1,0,1,0,0,1,0,0,0,0,-1
checklist,0,0,0,0,0,0,1,0,0,1,1
cheer,0,1,0,0,1,0,1,0,1,1,1
cheerful,0,0,0,0,1,0,1,0,1,0,1
cheerfulness,0,1,0,0,1,0,1,0,0,1,1
cheering,0,0,0,0,1,0,1,0,0,0,1
cheery,0,1,0,0,1,0,1,0,0,0,1
chemist,0,0,0,0,0,0,1,0,0,1,1
cherish,0,1,0,0,1,0,1,0,1,1,1
chicane,0,1,0,0,0,1,0,0,1,1,-1
child,0,1,0,0,1,0,1,0,0,0,1
childhood,0,0,0,0,1,0,1,0,0,0,1
chimera,0,0,0,1,0,0,0,0,1,0,0
chirp,0,0,0,0,1,0,1,0,0,0,1
chocolate,0,1,0,0,1,0,1,0,0,1,1
choir,0,0,0,0,1,0,1,0,0,1,1
choke,1,0,0,0,0,1,0,1,0,0,-1
cholera,0,0,1,1,0,1,0,1,0,0,-1
choral,0,0,0,0,1,0,1,0,0,0,1
chronic,0,0,0,0,0,1,0,1,0,0,-1
chronicle,0,0,0,0,0,0,1,0,0,1,1
chuckle,0,1,0,0,1,0,1,0,1,1,1
church,0,1,0,0,1,0,1,0,0,1,1
circumvention,0,0,0,0,0,1,1,0,0,0,0
civilization,0,0,0,0,0,0,1,0,0,1,1
civilized,0,0,0,0,1,0,1,0,0,1,1
claimant,1,0,1,0,0,0,0,0,0,0,0
clamor,1,1,1,0,0,1,0,0,1,0,-1
clap,0,1,0,0,1,0,1,0,0,1,1
clash,1,0,0,0,0,1,0,0,0,0,-1
clashing,1,0,0,1,0,1,0,0,0,0,-1
classics,0,0,0,0,1,0,1,0,0,0,1
claw,1,0,0,1,0,1,0,0,0,0,-1
clean,0,0,0,0,1,0,1,0,0,1,1
clearance,0,0,0,0,0,0,1,0,0,1,1
clerical,0,0,0,0,0,0,1,0,0,1,1
climax,0,1,0,0,1,0,1,0,1,1,1
closeness,0,0,0,0,1,0,1,0,0,1,1
closure,0,1,0,0,1,0,1,1,0,0,1
clouded,0,0,0,0,0,1,0,1,0,0,-1
cloudiness,0,0,0,1,0,1,0,0,0,0,-1
clown,0,1,0,0,1,0,1,0,1,0,1
clumsy,0,0,1,0,0,1,0,0,0,0,-1
cocaine,0,0,0,0,0,1,0,1,0,0,-1
coerce,1,0,1,1,0,1,0,0,0,0,-1
coercion,1,0,1,1,0,1,0,1,0,0,-1
coexist,0,0,0,0,0,0,1,0,0,1,1
coffin,0,0,0,1,0,1,0,1,0,0,-1
cogent,0,0,0,0,0,0,1,0,0,1,1
cohesive,0,0,0,0,0,0,1,0,0,1,1
coldness,1,0,1,1,0,1,0,1,0,0,-1
collapse,0,0,1,1,0,1,0,1,0,0,-1
collectively,0,0,0,0,0,0,1,0,0,1,1
collision,1,0,0,0,0,1,0,0,0,0,-1
collusion,1,0,1,1,0,1,0,1,0,0,-1
colonel,0,0,0,0,0,0,1,0,0,1,1
coma,0,0,0,1,0,1,0,1,0,0,-1
comatose,0,0,0,1,0,1,0,1,0,0,-1
combat,1,0,0,1,0,1,0,0,0,0,-1
combatant,1,0,0,1,0,1,0,0,0,0,-1
combative,1,0,0,1,0,1,0,0,0,0,-1
comfort,0,1,0,0,1,0,1,0,0,1,1
commandant,0,0,0,0,0,0,1,0,0,1,1
commanding,0,0,0,0,0,0,1,0,0,1,1
commemorate,0,1,0,0,1,0,1,1,0,0,1
commemoration,0,1,0,0,1,0,1,0,0,0,1
commemorative,0,1,0,0,0,0,1,0,0,0,1
commendable,0,0,0,0,1,0,1,0,0,1,1
committal,0,0,0,0,0,1,0,1,0,0,-1
committed,0,0,0,0,0,0,1,0,0,1,1
commodore,0,0,0,0,0,0,1,0,0,1,1
commonplace,0,1,0,0,0,0,0,0,0,1,0
commonwealth,0,0,0,0,0,0,1,0,0,1,1
commotion,1,0,0,0,0,1,0,0,0,0,-1
communicate,0,0,0,0,0,0,1,0,0,1,1
communion,0,0,0,0,1,0,1,0,0,1,1
communism,1,0,0,1,0,1,0,1,0,0,-1
companion,0,0,0,0,1,0,1,0,0,1,1
compassion,0,0,0,1,0,0,1,0,0,0,1
compensate,0,1,0,0,1,0,1,0,1,1,1
competence,0,0,0,0,0,0,1,0,0,1,1
competency,0,0,0,0,0,0,1,0,0,1,1
competent,0,0,0,0,0,0,1,0,0,1,1
competition,0,1,0,0,0,1,0,0,0,0,-1
complain,1,0,0,0,0,1,0,1,0,0,-1
complaint,1,0,0,0,0,1,0,0,0,0,-1
complement,0,1,0,0,1,0,1,0,1,1,1
completing,0,1,0,0,1,0,1,0,0,0,1
completion,0,1,0,0,1,0,1,0,0,0,1
compliance,0,0,0,0,0,0,1,0,0,1,1
complicate,1,0,0,0,0,1,0,0,0,0,-1
complicity,0,0,0,0,0,1,1,0,0,0,0
compliment,0,1,0,0,1,0,1,0,1,1,1
compost,0,0,1,0,0,1,0,0,0,0,-1
compulsion,1,0,0,0,0,1,0,0,0,0,-1
comrade,0,0,0,0,0,0,1,0,0,1,1
conceal,0,0,0,0,0,1,0,1,0,0,-1
concealed,0,1,0,1,0,1,0,0,1,0,-1
concealment,1,1,0,1,0,1,0,0,0,0,-1
concerned,0,0,0,1,0,0,0,1,0,0,0
conciliation,0,0,0,0,1,0,1,0,0,1,1
concord,0,0,0,0,0,0,1,0,0,1,1
concordance,0,0,0,0,0,0,1,0,0,1,1
concussion,1,0,0,0,0,1,0,1,0,0,-1
condemn,1,0,0,0,0,1,0,0,0,0,-1
condemnation,1,1,1,1,0,1,0,1,0,0,-1
condescension,1,0,1,0,0,1,0,1,0,0,-1
condolence,0,0,0,0,0,0,1,1,0,0,1
confederate,0,0,0,0,0,0,1,0,0,1,1
confess,0,0,0,0,0,1,1,0,0,1,0
confession,0,1,0,1,0,1,0,1,1,0,-1
confessional,0,0,0,1,0,0,0,0,0,1,0
confidence,0,0,0,1,1,0,1,0,0,1,1
confident,0,0,0,0,1,0,1,0,0,1,1
confine,1,0,0,1,0,1,0,1,0,0,-1
confined,1,0,1,1,0,1,0,1,0,0,-1
confinement,1,0,0,1,0,1,0,1,0,0,-1
confirmed,0,0,0,0,0,0,1,0,0,1,1
confiscate,1,0,0,0,0,1,0,1,0,0,-1
conflagration,1,0,0,1,0,1,0,0,0,0,-1
conflict,1,0,0,1,0,1,0,1,0,0,-1
confusion,1,0,0,1,0,1,0,0,0,0,-1
congratulatory,0,0,0,0,1,0,1,0,0,0,1
congregation,0,0,0,0,0,0,1,0,0,1,1
congress,0,0,1,0,0,0,0,0,0,1,0
congruence,0,0,0,0,0,0,1,0,0,1,1
conjure,0,1,0,0,0,0,0,0,1,0,0
connoisseur,0,0,0,0,1,0,1,0,0,1,1
conquest,1,0,0,1,0,1,0,0,0,0,-1
conscience,0,0,0,0,0,0,1,0,0,1,1
conscientious,0,0,0,0,0,0,1,0,0,1,1
consecration,0,1,0,0,1,0,1,1,0,1,1
conservation,0,1,0,0,0,0,1,0,0,1,1
considerate,0,0,0,0,0,0,1,0,0,1,1
consistency,0,0,0,0,0,0,1,0,0,1,1
console,0,0,0,0,0,0,1,1,0,0,1
conspirator,1,1,1,1,0,1,0,0,0,0,-1
conspire,0,0,0,1,0,1,0,0,0,0,-1
constancy,0,0,0,0,0,0,1,0,0,1,1
constant,0,0,0,0,0,0,1,0,0,1,1
consternation,1,0,0,1,0,1,0,0,0,0,-1
constipation,0,0,1,0,0,1,0,0,0,0,-1
constitutional,0,0,0,0,0,0,1,0,0,1,1
constrain,0,0,0,1,0,1,0,0,0,0,-1
constraint,1,0,0,1,0,1,0,1,0,0,-1
contagion,0,1,1,1,0,1,0,0,0,0,-1
contagious,0,0,1,1,0,1,0,0,0,0,-1
contaminate,0,0,1,0,0,1,0,0,0,0,-1
contaminated,0,0,1,1,0,1,0,1,0,0,-1
contamination,0,0,1,0,0,1,0,0,0,0,-1
contempt,1,0,1,1,0,1,0,0,0,0,-1
contemptible,1,0,1,0,0,1,0,0,0,0,-1
contemptuous,1,0,0,0,0,1,0,0,0,0,-1
content,0,0,0,0,1,0,1,0,0,1,1
contentious,1,0,1,1,0,1,0,0,0,0,-1
continue,0,1,0,0,0,0,1,0,0,1,1
contraband,1,0,1,1,0,1,0,0,0,0,-1
contradict,1,0,0,0,0,1,0,0,0,0,-1
contributor,0,0,0,0,0,0,1,0,0,1,1
controversial,1,0,0,0,0,1,0,0,0,0,-1
convent,0,0,0,0,0,0,1,0,0,1,1
convict,1,0,1,1,0,1,0,1,0,0,-1
convince,0,1,0,0,0,0,1,0,0,1,1
coop,1,0,1,0,0,1,0,0,0,0,-1
cooperating,0,0,0,0,0,0,1,0,0,1,1
cooperation,0,0,0,0,0,0,1,0,0,1,1
cooperative,0,0,0,0,0,0,1,0,0,1,1
cop,0,0,0,1,0,0,0,0,0,1,0
copycat,1,0,1,0,0,1,0,0,0,0,-1
coronation,0,0,0,0,1,0,1,0,0,1,1
corporation,0,0,0,0,0,0,1,0,0,1,1
corpse,0,0,1,0,0,1,0,1,0,0,-1
correspondence,0,1,0,0,0,0,1,0,0,0,1
corroborate,0,0,0,0,0,0,1,0,0,1,1
corrosive,0,0,0,1,0,1,0,0,0,0,-1
corrupting,1,0,1,1,0,1,0,1,0,0,-1
corruption,0,0,1,0,0,1,0,0,0,0,-1
cosmopolitan,0,0,0,0,0,0,1,0,0,1,1
cough,0,0,1,0,0,1,0,0,0,0,-1
council,0,1,0,0,0,0,1,0,0,1,1
counsel,0,0,0,0,0,0,1,0,0,1,1
counsellor,1,0,0,1,0,1,0,0,0,1,-1
counselor,0,0,0,0,0,0,1,0,0,1,1
count,0,0,0,0,0,0,1,0,0,1,1
coup,1,0,0,0,0,0,0,0,1,0,0
courageous,0,0,0,1,0,0,1,0,0,0,1
court,1,1,0,1,0,0,0,0,0,0,0
courtship,0,1,0,0,1,0,1,0,0,1,1
cove,0,1,1,1,1,0,1,0,0,0,1
covenant,0,0,0,0,0,0,1,0,0,1,1
coward,0,0,1,1,0,1,0,1,0,0,-1
cowardice,0,0,0,1,0,1,0,0,0,0,-1
cowardly,0,0,0,1,0,1,0,0,0,0,-1
crabby,1,0,0,0,0,1,0,0,0,0,-1
cracked,1,0,0,1,0,1,0,0,0,0,-1
cradle,0,1,0,0,1,0,1,0,0,1,1
cramp,0,1,0,0,0,1,0,0,0,0,-1
cranky,1,0,0,0,0,1,0,0,0,0,-1
crap,0,0,1,0,0,1,0,0,0,0,-1
crash,0,0,0,1,0,1,0,1,1,0,-1
crawl,0,0,1,0,0,1,0,0,0,0,-1
crazed,1,0,0,1,0,1,0,0,0,0,-1
crazy,1,0,0,1,0,1,0,1,0,0,-1
cream,0,1,0,0,1,0,1,0,1,0,1
create,0,0,0,0,1,0,1,0,0,0,1
creature,0,0,1,1,0,1,0,0,0,0,-1
credence,0,0,0,0,0,0,1,0,0,1,1
credential,0,0,0,0,0,0,1,0,0,1,1
credibility,0,0,0,0,0,0,1,0,0,1,1
credible,0,0,0,0,0,0,1,0,0,1,1
credit,0,0,0,0,0,0,1,0,0,1,1
creditable,0,0,0,0,0,0,1,0,0,1,1
crescendo,0,1,0,0,1,0,1,0,1,1,1
crime,1,0,0,0,0,1,0,0,0,0,-1
criminal,1,0,1,1,0,1,0,0,0,0,-1
criminality,1,0,1,1,0,1,0,0,0,0,-1
cringe,0,0,1,1,0,1,0,1,0,0,-1
cripple,0,0,0,1,0,1,0,1,0,0,-1
crippled,0,0,0,0,0,1,0,1,0,0,-1
crisp,0,0,0,0,0,1,0,0,0,1,-1
criticism,1,0,0,0,0,1,0,1,0,0,-1
criticize,1,0,1,1,0,1,0,1,0,0,-1
cross,1,0,0,1,0,1,0,1,0,0,-1
crouching,0,0,0,1,0,1,0,0,0,0,-1
crowning,0,1,0,0,1,0,1,0,1,1,1
crucial,0,0,0,0,0,0,1,0,0,1,1
crucifixion,1,0,1,1,0,1,0,1,0,0,-1
crude,0,0,1,0,0,1,0,0,0,0,-1
cruel,1,0,1,1,0,1,0,1,0,0,-1
cruelly,1,0,0,1,0,1,0,0,0,0,-1
cruelty,1,0,1,1,0,1,0,1,0,0,-1
crumbling,0,0,0,0,0,1,0,1,0,0,-1
crunch,1,0,0,0,0,1,0,0,0,0,-1
crusade,1,0,0,1,0,1,0,0,0,0,-1
crushed,1,0,1,1,0,1,0,1,0,0,-1
crushing,1,0,1,1,0,1,0,0,0,0,-1
crusty,0,0,1,0,0,1,0,0,0,0,-1
cry,0,0,0,0,0,1,0,1,0,0,-1
crying,0,0,0,0,0,1,0,1,0,0,-1
crypt,0,0,0,1,0,1,0,1,0,0,-1
cuckold,0,0,1,0,0,1,0,0,0,0,-1
cuddle,0,0,0,0,1,0,1,0,0,1,1
culinary,0,0,0,0,0,0,1,0,0,1,1
cult,0,0,0,1,0,1,0,0,0,0,-1
cultivate,0,1,0,0,0,0,1,0,0,1,1
cumbersome,0,0,0,0,0,1,0,1,0,0,-1
cunning,0,0,0,0,0,1,1,0,0,0,0
cupping,0,0,1,1,0,1,0,1,0,0,-1
cur,1,0,1,1,0,1,0,0,0,0,-1
curable,0,0,0,0,0,0,1,0,0,1,1
curiosity,0,1,0,0,0,0,1,0,1,0,1
curse,1,0,1,1,0,1,0,1,0,0,-1
cursed,1,0,0,1,0,1,0,1,0,0,-1
cursing,1,0,1,0,0,1,0,0,0,0,-1
cutter,0,0,0,1,0,1,0,0,0,0,-1
cutthroat,1,0,0,1,0,1,0,0,0,0,-1
cutting,1,0,1,1,0,1,0,1,0,0,-1
cyanide,0,0,0,1,0,1,0,0,0,0,-1
cyclone,0,0,0,1,0,1,0,0,1,0,-1
cyst,0,0,0,1,0,1,0,1,0,0,-1
cytomegalovirus,0,0,0,0,0,1,0,1,0,0,-1
dabbling,1,0,1,0,0,1,0,0,0,0,-1
daemon,1,0,1,1,0,1,0,1,1,0,-1
daft,0,0,1,0,0,1,0,0,0,0,-1
dagger,0,0,0,1,0,1,0,0,0,0,-1
damage,1,0,1,0,0,1,0,1,0,0,-1
damages,0,0,0,0,0,1,0,1,0,0,-1
dame,1,0,1,0,0,0,1,0,0,1,1
damn,1,0,1,0,0,1,0,0,0,0,-1
damnation,1,0,0,1,0,1,0,1,0,0,-1
dance,0,0,0,0,1,0,1,0,0,1,1
dandy,0,0,1,0,0,1,0,0,0,0,-1
danger,0,0,0,1,0,1,0,1,0,0,-1
dangerous,0,0,0,1,0,1,0,0,0,0,-1
dare,0,1,0,0,0,0,0,0,0,1,0
darken,0,0,0,1,0,1,0,1,0,0,-1
darkened,0,0,0,1,0,1,0,1,0,0,-1
darkness,1,0,0,1,0,1,0,1,0,0,-1
darling,0,0,0,0,1,0,1,0,0,1,1
dashed,1,0,0,1,0,1,0,1,0,0,-1
dastardly,1,0,1,1,0,1,0,0,0,0,-1
daughter,0,0,0,0,1,0,1,0,0,0,1
dawn,0,1,0,0,1,0,1,0,1,1,1
deadly,1,0,1,1,0,1,0,1,0,0,-1
deal,0,1,0,0,1,0,1,0,1,1,1
death,1,1,1,1,0,1,0,1,1,0,-1
debacle,0,0,0,1,0,1,0,1,0,0,-1
debauchery,0,0,1,1,0,1,0,0,0,0,-1
debris,0,0,1,0,0,1,0,0,0,0,-1
debt,0,0,0,0,0,1,0,1,0,0,-1
decay,0,0,0,1,0,1,0,1,0,0,-1
decayed,0,0,1,0,0,1,0,1,0,0,-1
deceased,0,0,0,0,0,1,0,1,0,0,-1
deceit,1,0,1,1,0,1,0,1,1,0,-1
deceitful,0,0,1,0,0,1,0,1,0,0,-1
deceive,1,0,1,0,0,1,0,1,0,0,-1
deceived,1,0,0,0,0,1,0,0,0,0,-1
deceiving,0,0,0,0,0,1,0,0,0,1,-1
decomposition,0,0,1,1,0,1,0,1,0,0,-1
decry,1,0,0,0,0,1,0,0,0,0,-1
defamation,0,0,1,1,0,1,0,0,0,0,-1
defamatory,1,0,0,0,0,1,0,0,0,0,-1
default,0,0,1,1,0,1,0,1,0,0,-1
defeated,0,0,0,0,0,1,0,1,0,0,-1
defect,1,0,0,0,0,1,0,0,0,0,-1
defection,0,0,0,1,0,1,0,0,0,0,-1
defective,0,0,1,0,0,1,0,0,0,0,-1
defend,0,0,0,1,0,0,1,0,0,0,1
defendant,1,0,0,1,0,0,0,1,0,0,0
defended,0,0,0,0,0,0,1,0,0,1,1
defender,0,0,0,0,0,0,1,0,0,1,1
defense,1,1,0,1,0,0,1,0,0,0,1
defenseless,0,0,0,1,0,1,0,1,0,0,-1
deference,0,0,0,0,0,0,1,0,0,1,1
defiance,1,0,1,1,0,1,0,0,0,0,-1
defiant,1,0,0,0,0,1,0,0,0,0,-1
definitive,0,0,0,0,0,0,1,0,0,1,1
deflate,1,0,0,0,0,1,0,1,0,0,-1
deflation,0,0,0,1,0,1,0,0,0,0,-1
deform,0,0,1,0,0,1,0,0,0,0,-1
deformed,0,0,1,0,0,1,0,1,0,0,-1
deformity,0,0,1,1,0,1,0,1,0,0,-1
defraud,1,0,1,0,0,1,0,0,0,0,-1
defunct,0,0,0,0,0,1,0,1,0,0,-1
defy,1,0,0,1,0,1,0,1,1,0,-1
degeneracy,1,0,1,0,0,1,0,1,0,0,-1
degrade,0,0,1,0,0,1,0,0,0,0,-1
degrading,0,0,1,1,0,1,0,1,0,0,-1
delay,1,0,1,1,0,1,0,1,0,0,-1
delegate,0,0,0,0,0,0,1,0,0,1,1
deleterious,1,0,1,1,0,1,0,0,0,0,-1
delicious,0,0,0,0,1,0,1,0,0,0,1
delight,0,1,0,0,1,0,1,0,0,0,1
delighted,0,1,0,0,1,0,1,0,1,0,1
delightful,0,1,0,0,1,0,1,0,0,1,1
delinquent,1,0,1,0,0,1,0,0,0,0,-1
delirious,0,0,0,0,0,1,0,1,0,0,-1
delirium,0,0,1,0,0,1,0,1,0,0,-1
deliverance,0,1,0,0,1,0,1,0,0,1,1
delivery,0,1,0,0,0,0,1,0,0,0,1
deluge,0,0,0,1,0,1,0,1,1,0,-1
delusion,1,0,0,1,0,1,0,1,0,0,-1
delusional,1,0,0,1,0,1,0,0,0,0,-1
demand,1,0,0,0,0,1,0,0,0,0,-1
demented,0,0,0,1,0,1,0,0,0,0,-1
dementia,0,0,0,1,0,1,0,1,0,0,-1
demise,0,0,0,1,0,1,0,1,0,0,-1
demolish,1,0,0,0,0,1,0,1,0,0,-1
demon,1,0,1,1,0,1,0,1,0,0,-1
demonic,1,0,1,1,0,1,0,1,0,0,-1
demonstrative,0,0,0,0,1,0,1,1,0,0,1
demoralized,0,0,0,1,0,1,0,1,0,0,-1
denied,0,0,0,0,0,1,0,1,0,0,-1
denounce,1,0,1,0,0,1,0,0,0,0,-1
denunciation,1,0,1,1,0,1,0,0,0,0,-1
deny,1,0,0,0,0,1,0,0,0,0,-1
denying,0,1,0,0,0,1,0,0,0,0,-1
depart,0,1,0,0,0,0,0,1,0,0,0
departed,0,0,0,0,0,1,0,1,0,0,-1
departure,0,0,0,0,0,1,0,1,0,0,-1
depend,0,1,0,0,0,0,0,0,0,1,0
dependence,0,0,0,1,0,1,0,1,0,0,-1
dependent,0,0,0,0,0,1,1,0,0,1,0
deplorable,1,0,1,1,0,1,0,1,0,0,-1
deplore,1,0,1,0,0,1,0,1,0,0,-1
deport,0,0,0,1,0,1,0,1,0,0,-1
deportation,1,0,0,1,0,1,0,1,0,0,-1
depraved,1,1,1,1,0,1,0,1,0,0,-1
depravity,1,0,1,0,0,1,0,0,0,0,-1
depreciate,1,0,1,0,0,1,0,0,0,0,-1
depreciated,1,0,1,1,0,1,0,1,0,0,-1
depreciation,0,0,0,1,0,1,0,0,0,0,-1
depress,0,0,0,1,0,1,0,1,0,0,-1
depressed,1,0,0,1,0,1,0,1,0,0,-1
depressing,0,0,1,0,0,1,0,1,0,0,-1
depression,0,0,0,0,0,1,0,1,0,0,-1
depressive,0,0,0,0,0,1,0,1,0,0,-1
deprivation,1,0,1,1,0,1,0,1,0,0,-1
depth,0,0,0,0,0,0,1,0,0,1,1
deranged,1,0,1,1,0,1,0,0,0,0,-1
derision,1,0,1,0,0,1,0,0,0,0,-1
derogation,1,0,1,1,0,1,0,1,0,0,-1
derogatory,1,0,1,1,0,1,0,1,0,0,-1
descent,0,0,0,1,0,0,0,1,0,0,0
desecration,1,0,1,1,0,1,0,1,0,0,-1
desert,1,0,1,1,0,1,0,1,0,0,-1
deserted,1,0,1,1,0,1,0,1,0,0,-1
deserve,1,1,0,0,0,0,1,0,0,1,1
desist,1,0,1,0,0,1,0,0,0,0,-1
desolation,0,0,0,1,0,1,0,1,0,0,-1
despair,1,0,1,1,0,1,0,1,0,0,-1
despairing,0,0,0,1,0,1,0,1,0,0,-1
despicable,1,0,1,0,0,1,0,0,0,0,-1
despise,1,0,1,0,0,1,0,0,0,0,-1
despotic,0,0,0,1,0,1,0,0,0,0,-1
despotism,1,0,1,1,0,1,0,1,0,0,-1
destination,0,1,0,1,1,0,1,1,1,0,1
destitute,0,0,0,1,0,1,0,1,0,0,-1
destroyed,1,0,0,1,0,1,0,1,0,0,-1
destroyer,1,0,0,1,0,1,0,0,0,0,-1
destroying,1,0,0,1,0,1,0,1,0,0,-1
destruction,1,0,0,0,0,1,0,0,0,0,-1
destructive,1,0,1,1,0,1,0,0,0,0,-1
detainee,1,1,0,1,0,1,0,1,0,0,-1
detention,0,0,0,0,0,1,0,1,0,0,-1
deteriorate,0,0,0,1,0,1,0,1,0,0,-1
deteriorated,0,0,1,0,0,1,0,1,0,0,-1
deterioration,1,0,1,1,0,1,0,1,0,0,-1
determinate,0,1,0,0,0,0,0,0,0,1,0
determination,0,0,0,0,0,0,1,0,0,1,1
detest,1,0,1,0,0,1,0,0,0,0,-1
detonate,0,0,0,1,0,1,0,0,1,0,-1
detract,1,0,0,0,0,1,0,0,0,0,-1
devastate,1,0,0,1,0,1,0,1,0,0,-1
devastating,1,0,1,1,0,1,0,1,0,1,-1
devastation,1,0,0,1,0,1,0,1,1,0,-1
develop,0,1,0,0,0,0,1,0,0,0,1
devil,1,1,1,1,0,1,0,1,0,0,-1
devilish,0,0,1,1,0,1,0,0,0,0,-1
devotional,0,0,0,0,0,0,1,0,0,1,1
devout,0,1,0,0,1,0,1,0,0,1,1
diabolical,1,0,1,1,0,1,0,0,0,0,-1
diagnosis,0,1,0,1,0,1,0,0,0,1,-1
diamond,0,0,0,0,1,0,1,0,0,0,1
diary,0,0,0,0,1,0,1,0,0,1,1
diatribe,1,0,1,0,0,1,0,0,0,0,-1
dictator,0,0,0,1,0,1,0,0,0,0,-1
dictatorial,1,0,0,0,0,1,0,0,0,0,-1
dictatorship,1,1,1,1,0,1,0,1,0,0,-1
dictionary,0,0,0,0,0,0,1,0,0,1,1
die,0,0,0,1,0,1,0,1,0,0,-1
dietary,0,1,0,0,0,0,1,0,0,0,1
difficulties,0,0,0,0,0,1,0,1,0,0,-1
difficulty,1,0,0,1,0,1,0,1,0,0,-1
dignity,0,0,0,0,0,0,1,0,0,1,1
digress,0,1,0,0,0,1,0,0,0,0,-1
dilapidated,0,0,1,0,0,1,0,1,0,0,-1
diligence,0,0,0,0,0,0,1,0,0,1,1
diminish,0,0,0,0,0,1,0,1,0,0,-1
diplomacy,0,1,0,0,0,0,1,0,0,1,1
diplomatic,0,0,0,0,0,0,1,0,0,1,1
dire,0,0,1,1,0,1,0,1,1,0,-1
director,0,0,0,0,0,0,1,0,0,1,1
dirt,0,0,1,0,0,1,0,0,0,0,-1
dirty,0,0,1,0,0,1,0,0,0,0,-1
disability,0,0,0,0,0,1,0,1,0,0,-1
disable,0,0,0,1,0,1,0,1,0,0,-1
disabled,0,0,0,1,0,1,0,1,0,0,-1
disagree,1,0,0,0,0,1,0,0,0,0,-1
disagreeing,1,0,0,0,0,1,0,1,0,0,-1
disagreement,1,0,0,0,0,1,0,1,0,0,-1
disallowed,1,0,1,1,0,1,0,1,0,0,-1
disappoint,1,0,1,0,0,1,0,1,0,0,-1
disappointed,1,0,1,0,0,1,0,1,0,0,-1
disappointing,0,0,0,0,0,1,0,1,0,0,-1
disappointment,0,0,1,0,0,1,0,1,0,0,-1
disapproval,0,0,0,0,0,1,0,1,0,0,-1
disapprove,1,0,1,1,0,1,0,1,0,0,-1
disapproved,1,0,0,0,0,1,0,1,0,0,-1
disapproving,1,0,1,0,0,1,0,1,0,0,-1
disaster,1,0,1,1,0,1,0,1,1,0,-1
disastrous,1,0,0,1,0,1,0,1,0,0,-1
discipline,0,0,0,1,0,1,0,0,0,0,-1
disclaim,1,0,1,0,0,1,0,0,0,1,-1
discoloration,0,0,1,0,0,1,0,0,0,0,-1
discolored,0,0,1,0,0,1,0,1,0,0,-1
discomfort,0,0,0,0,0,1,0,1,0,0,-1
disconnect,0,0,0,0,0,1,0,1,0,0,-1
disconnected,0,0,0,0,0,1,0,1,0,0,-1
discontent,1,0,1,1,0,1,0,1,0,0,-1
discontinuity,0,0,1,1,0,1,0,1,0,0,-1
discord,1,0,1,0,0,1,0,0,0,0,-1
discourage,0,0,0,1,0,1,0,1,0,0,-1
discreet,0,1,0,0,0,0,1,0,0,0,1
discretion,0,1,0,0,0,0,1,0,0,1,1
discriminate,1,0,0,0,0,1,0,1,0,0,-1
discriminating,0,0,1,0,0,1,0,0,0,0,-1
discrimination,1,0,1,1,0,1,0,1,0,0,-1
disdain,1,0,1,0,0,1,0,0,0,0,-1
disease,1,0,1,1,0,1,0,1,0,0,-1
diseased,0,0,1,1,0,1,0,1,0,0,-1
disembodied,0,0,0,1,0,1,0,1,0,0,-1
disfigured,1,0,1,1,0,1,0,1,0,0,-1
disgrace,1,0,1,0,0,1,0,1,0,0,-1
disgraced,1,0,1,0,0,1,0,1,0,0,-1
disgraceful,1,0,1,0,0,1,0,0,0,0,-1
disgruntled,1,0,1,0,0,1,0,1,0,0,-1
disgust,1,0,1,1,0,1,0,1,0,0,-1
disgusting,1,0,1,1,0,1,0,0,0,0,-1
disheartened,0,0,0,0,0,1,0,1,0,0,-1
disheartening,0,0,0,0,0,1,0,1,0,0,-1
dishonest,1,0,1,0,0,1,0,1,0,0,-1
dishonesty,0,0,1,0,0,1,0,0,0,0,-1
dishonor,1,0,1,1,0,1,0,1,0,0,-1
disillusionment,1,0,1,0,0,1,0,1,0,0,-1
disinformation,1,0,0,1,0,1,0,0,0,0,-1
disingenuous,0,0,1,0,0,1,0,0,0,0,-1
disintegrate,0,0,1,1,0,1,0,0,0,0,-1
dislike,1,0,1,0,0,1,0,0,0,0,-1
disliked,1,0,0,0,0,1,0,1,0,0,-1
dislocated,1,0,1,1,0,1,0,1,0,0,-1
dismal,0,0,1,1,0,1,0,1,0,0,-1
dismay,1,1,0,1,0,1,0,1,1,0,-1
dismemberment,0,0,1,1,0,1,0,1,0,0,-1
dismissal,1,0,1,1,0,1,0,1,1,0,-1
disobedience,1,0,1,0,0,1,0,0,0,0,-1
disobedient,1,0,0,0,0,1,0,0,0,0,-1
disobey,1,0,1,0,0,1,0,0,0,0,-1
disorder,0,0,0,1,0,1,0,0,0,0,-1
