term_str,n,pos_max,pos_group,df,dfidf
time,2615,NN,NN,317,4.307733525101738
has,2438,VBZ,VB,297,31.959865303719166
only,2409,RB,RB,310,14.199143780068674
man,2383,NN,NN,294,35.94319051499343
before,2347,IN,IN,315,7.156824097526287
know,2302,VBP,VB,299,29.279999786087917
am,2277,VBP,VB,290,41.18551141300408
should,2269,MD,MD,304,22.49617675890814
did,2232,VBD,VB,304,22.49617675890814
any,2205,DT,DT,308,16.98359869127794
than,2200,IN,IN,315,7.156824097526287
see,2190,VB,VB,298,30.622353178709833
must,2145,MD,MD,287,45.06507527675058
us,2140,PRP,PR,274,61.34750726795293
its,2136,PRP$,PR,307,18.368807601775178
can,2112,MD,MD,300,27.932821317444436
well,2081,RB,RB,302,25.224053379809636
emily,2074,NNP,NN,67,151.1412065967825
shall,2061,MD,MD,274,61.34750726795293
how,2033,WRB,WR,302,25.224053379809636
own,2026,JJ,JJ,305,21.125112043319707
our,2012,PRP$,PR,274,61.34750726795293
about,2000,IN,IN,295,34.62030043825683
may,1990,MD,MD,290,41.18551141300408
over,1960,IN,IN,302,25.224053379809636
after,1921,IN,IN,307,18.368807601775178
little,1901,JJ,JJ,294,35.94319051499343
again,1892,RB,RB,300,27.932821317444436
other,1825,JJ,JJ,308,16.98359869127794
such,1823,JJ,JJ,293,37.261173456278556
might,1815,MD,MD,303,23.862495758566624
room,1802,NN,NN,265,72.1010795407522
much,1775,JJ,JJ,296,33.292519860490145
where,1736,WRB,WR,290,41.18551141300408
here,1729,RB,RB,289,42.48369717975158
down,1728,RP,RP,295,34.62030043825683
sir,1724,NNP,NN,175,152.37547203463086
these,1689,DT,DT,291,39.88235082591187
night,1670,NN,NN,266,70.92774539672193
made,1670,VBD,VB,301,26.580833856425784
never,1645,RB,RB,291,39.88235082591187
door,1631,NN,NN,252,86.85133918963635
good,1621,JJ,JJ,292,38.574232514144754
way,1620,NN,NN,287,45.06507527675058
came,1615,VBD,VB,287,45.06507527675058
first,1605,JJ,JJ,302,25.224053379809636
come,1585,VB,VB,276,58.89940411813737
say,1561,VB,VB,275,60.12607878071859
think,1535,VB,VB,281,52.687998681268624
heard,1525,VBD,VB,274,61.34750726795293
back,1512,RB,RB,279,55.18809247323074
like,1455,IN,IN,297,31.959865303719166
hand,1454,NN,NN,274,61.34750726795293
too,1449,RB,RB,295,34.62030043825683
two,1445,CD,CD,269,67.3752819969686
still,1431,RB,RB,282,51.430241381776426
go,1423,VB,VB,272,63.77454898927025
himself,1416,PRP,PR,277,57.6675022881742
thought,1410,VBD,VB,291,39.88235082591187
eyes,1396,NNS,NN,285,47.6263459630486
yet,1396,RB,RB,276,58.89940411813737
house,1395,NN,NN,253,85.75043360884221
long,1378,JJ,JJ,285,47.6263459630486
mind,1363,NN,NN,296,33.292519860490145
every,1355,DT,DT,278,56.43039216155165
day,1340,NN,NN,277,57.6675022881742
through,1322,IN,IN,283,50.16736813170086
saw,1320,VBD,VB,276,58.89940411813737
nothing,1318,NN,NN,292,38.574232514144754
found,1310,VBD,VB,279,55.18809247323074
without,1304,IN,IN,267,69.74898757434886
while,1291,IN,IN,259,79.0260300650094
last,1277,JJ,JJ,285,47.6263459630486
went,1271,VBD,VB,260,77.88567328331607
seemed,1255,VBD,VB,260,77.88567328331607
looked,1235,VBD,VB,281,52.687998681268624
though,1234,IN,IN,246,93.33574302883812
tell,1224,VB,VB,250,89.03595255631883
being,1221,VBG,VB,289,42.48369717975158
myself,1200,PRP,PR,243,96.49908868142428
even,1175,RB,RB,273,62.56367043313022
away,1175,RB,RB,282,51.430241381776426
old,1171,JJ,JJ,244,95.45054478717213
great,1169,JJ,JJ,278,56.43039216155165
heart,1159,NN,NN,255,83.53153779726861
left,1158,VBD,VB,279,55.18809247323074
moment,1157,NN,NN,266,70.92774539672193
once,1141,RB,RB,281,52.687998681268624
just,1130,RB,RB,270,66.18037441586347
let,1127,VB,VB,255,83.53153779726861
most,1125,RBS,RB,278,56.43039216155165
place,1123,NN,NN,269,67.3752819969686
took,1116,VBD,VB,278,56.43039216155165
miss,1106,NNP,NN,156,161.69803665991776
make,1105,VB,VB,278,56.43039216155165
those,1099,DT,DT,273,62.56367043313022
lady,1090,NN,NN,197,137.87562625990427
ever,1086,RB,RB,284,48.89939700868122
face,1068,NN,NN,240,99.6089998269225
look,1065,NN,NN,273,62.56367043313022
young,1045,JJ,JJ,245,94.39608819177396
however,1034,NN,NN,248,91.1974825561208
take,1026,VB,VB,267,69.74898757434886
having,1025,VBG,VB,248,91.1974825561208
friend,1020,NN,NN,242,97.54169554228983
herself,1013,PRP,PR,198,137.12915201193505
life,1012,NN,NN,265,72.1010795407522
soon,991,RB,RB,253,85.75043360884221
dear,976,JJ,JJ,226,113.39530393871148
voice,954,NN,NN,241,98.57834083643357
yes,936,NN,NN,224,115.26439071386585
father,930,NN,NN,186,145.59508678295555
same,927,JJ,JJ,274,61.34750726795293
asked,923,VBD,VB,234,105.66582982112614
till,920,NN,NN,186,145.59508678295555
why,914,WRB,WR,252,86.85133918963635
passed,902,VBD,VB,260,77.88567328331607
light,897,NN,NN,216,122.48076802836104
something,896,NN,NN,254,84.64382566125991
few,890,JJ,JJ,264,73.26896953963197
seen,884,VBN,VB,255,83.53153779726861
mrs,884,NNP,NN,128,169.2067961455824
morning,877,NN,NN,253,85.75043360884221
holmes,872,NNP,NN,49,132.65369428783555
off,871,RP,RP,233,106.65387440430813
whom,868,WP,WP,244,95.45054478717213
told,862,VBD,VB,244,95.45054478717213
head,862,NN,NN,238,101.65225891590171
oh,860,NN,NN,185,146.2511273586443
words,846,NNS,NN,246,93.33574302883812
many,844,JJ,JJ,253,85.75043360884221
put,840,VBD,VB,243,96.49908868142428
dont,837,VBP,VB,170,155.1313169874423
another,831,DT,DT,266,70.92774539672193
round,831,NN,NN,238,101.65225891590171
montoni,820,NNP,NN,35,111.74257772798386
done,816,VBN,VB,242,97.54169554228983
right,814,NN,NN,236,103.67127074402296
since,808,IN,IN,245,94.39608819177396
lord,806,NNP,NN,96,166.7486970399558
st,805,NNP,NN,91,165.0861443766686
quite,802,RB,RB,218,120.71614188407506
felt,802,VBD,VB,248,91.1974825561208
knew,796,VBD,VB,247,92.26953323576313
case,794,NN,NN,200,135.61438102252754
got,787,VBD,VB,189,143.58059175592874
give,784,VB,VB,250,89.03595255631883
find,782,VB,VB,242,97.54169554228983
appeared,779,VBD,VB,205,131.70183905329284
thing,773,NN,NN,248,91.1974825561208
far,772,RB,RB,257,81.29001124322545
death,760,NN,NN,206,130.89807894705368
enough,752,RB,RB,236,103.67127074402296
gave,744,VBD,VB,245,94.39608819177396
under,734,IN,IN,234,105.66582982112614
leave,726,VB,VB,236,103.67127074402296
hope,722,NN,NN,234,105.66582982112614
get,717,VB,VB,193,140.7879141205214
between,712,IN,IN,242,97.54169554228983
part,691,NN,NN,242,97.54169554228983
men,689,NNS,NN,204,132.49856159483681
against,683,IN,IN,228,111.5006824047575
towards,683,NNS,NN,225,114.3330533258232
hear,682,VB,VB,227,112.45117092439357
count,681,NNP,NN,77,158.24589967281946
whose,681,WP$,WP,200,135.61438102252754
believe,681,VB,VB,245,94.39608819177396
side,679,NN,NN,223,116.18928747765383
person,676,NN,NN,207,130.08731543932367
turned,674,VBD,VB,239,100.63364757068068
poor,666,JJ,JJ,198,137.12915201193505
going,664,VBG,VB,234,105.66582982112614
hour,659,NN,NN,231,108.6113613518714
castle,658,NN,NN,76,157.62404418972704
next,658,JJ,JJ,228,111.5006824047575
hands,656,NNS,NN,234,105.66582982112614
open,654,JJ,JJ,216,122.48076802836104
three,645,CD,CD,211,126.77489920401737
matter,645,NN,NN,191,142.1993599686582
present,643,JJ,JJ,231,108.6113613518714
cannot,641,VBP,VB,202,134.07075565138467
replied,637,VBD,VB,166,157.18351814771265
always,636,RB,RB,236,103.67127074402296
bed,635,NN,NN,156,161.69803665991776
love,634,NN,NN,190,142.89377244571875
name,632,NN,NN,222,117.1077147352709
perhaps,623,RB,RB,234,105.66582982112614
indeed,623,NN,NN,217,121.60177915010563
cried,610,VBD,VB,178,150.6226501779317
also,608,RB,RB,219,119.82388672767536
work,602,NN,NN,185,146.2511273586443
valancourt,601,NNP,NN,41,121.53941970104043
whole,600,JJ,JJ,234,105.66582982112614
sure,600,JJ,JJ,203,133.28821207354378
looking,600,VBG,VB,209,128.44491322655423
among,599,IN,IN,193,140.7879141205214
half,598,NN,NN,219,119.82388672767536
speak,598,VB,VB,212,125.92961974872262
already,593,RB,RB,218,120.71614188407506
both,593,DT,DT,219,119.82388672767536
new,590,JJ,JJ,227,112.45117092439357
almost,590,RB,RB,223,116.18928747765383
end,587,NN,NN,218,120.71614188407506
tuppence,585,NNP,NN,26,94.15869779540303
window,583,NN,NN,171,154.5969241802504
returned,582,VBD,VB,212,125.92961974872262
stood,578,VBD,VB,206,130.89807894705368
together,578,RB,RB,233,106.65387440430813
things,576,NNS,NN,191,142.1993599686582
answered,575,VBD,VB,191,142.1993599686582
fear,573,NN,NN,189,143.58059175592874
better,572,JJR,JJ,227,112.45117092439357
letter,571,NN,NN,141,166.71512069088823
set,569,VBN,VB,220,118.92504389979462
evening,568,NN,NN,201,134.8461571453952
woman,565,NN,NN,188,144.2597777234283
world,563,NN,NN,217,121.60177915010563
return,562,VB,VB,208,129.2695823632242
air,556,NN,NN,201,134.8461571453952
opened,554,VBD,VB,207,130.08731543932367
family,549,NN,NN,182,148.17228875333723
brought,547,VBD,VB,229,110.5438662550058
length,547,NN,NN,150,163.96641065872222
taken,545,VBN,VB,214,124.21867721605008
tommy,544,NNP,NN,27,96.31009600354513
alone,543,RB,RB,210,127.61334121646033
called,543,VBD,VB,208,129.2695823632242
small,540,JJ,JJ,187,144.93128974494869
spoke,538,VBD,VB,228,111.5006824047575
anything,536,NN,NN,189,143.58059175592874
silence,536,NN,NN,200,135.61438102252754
chamber,535,NN,NN,108,169.24038401418053
followed,534,VBD,VB,203,133.28821207354378
rest,532,NN,NN,212,125.92961974872262
doubt,531,NN,NN,207,130.08731543932367
madame,530,NNP,NN,52,136.31739559080606
sat,530,VBD,VB,200,135.61438102252754
thus,529,RB,RB,163,158.63159032697442
rather,527,RB,RB,211,126.77489920401737
began,527,VBD,VB,222,117.1077147352709
near,521,IN,IN,207,130.08731543932367
home,518,NN,NN,189,143.58059175592874
ill,518,NNP,NN,209,128.44491322655423
gone,517,VBN,VB,217,121.60177915010563
days,517,NNS,NN,199,136.375391394399
years,513,NNS,NN,197,137.87562625990427
girl,513,NN,NN,159,160.4381771968781
whether,512,IN,IN,207,130.08731543932367
until,511,IN,IN,167,156.6833750030228
people,511,NNS,NN,202,134.07075565138467
each,507,DT,DT,195,139.34656732186156
word,504,NN,NN,201,134.8461571453952
course,501,NN,NN,215,123.35307773904893
within,496,IN,IN,201,134.8461571453952
want,496,VBP,VB,191,142.1993599686582
annette,494,NNP,NN,33,108.15862119245399
subject,492,NN,NN,185,146.2511273586443
friends,492,NNS,NN,205,131.70183905329284
feel,492,VB,VB,199,136.375391394399
along,491,IN,IN,183,147.53977095840753
sergeant,489,NNP,NN,26,94.15869779540303
late,488,JJ,JJ,197,137.87562625990427
suddenly,488,RB,RB,198,137.12915201193505
lost,486,VBN,VB,203,133.28821207354378
ask,486,VB,VB,200,135.61438102252754
often,484,RB,RB,173,153.50287703436032
manner,482,NN,NN,205,131.70183905329284
question,481,NN,NN,183,147.53977095840753
kind,480,NN,NN,223,116.18928747765383
dark,479,JJ,JJ,181,148.7968796125524
wish,479,VBP,VB,201,134.8461571453952
franklin,478,NNP,NN,37,115.16156498256126
does,475,VBZ,VB,186,145.59508678295555
point,472,NN,NN,202,134.07075565138467
god,465,NNP,NN,153,162.87465858579074
continued,460,VBD,VB,170,155.1313169874423
sleep,456,NN,NN,139,167.21519608077583
strange,456,JJ,JJ,189,143.58059175592874
means,454,NNS,NN,190,142.89377244571875
help,450,VB,VB,170,155.1313169874423
reason,449,NN,NN,191,142.1993599686582
known,449,VBN,VB,196,138.61477715134222
catherine,448,NNP,NN,36,113.4721113640218
entered,443,VBD,VB,205,131.70183905329284
rose,443,VBD,VB,187,144.93128974494869
remember,441,VB,VB,211,126.77489920401737
answer,441,NN,NN,199,136.375391394399
read,441,VB,VB,180,149.41349974038374
lay,437,VBD,VB,182,148.17228875333723
john,436,NNP,NN,84,162.08729645712256
hall,434,NN,NN,146,165.28711625707237
idea,432,NN,NN,183,147.53977095840753
table,431,NN,NN,165,157.6749703058552
really,431,RB,RB,183,147.53977095840753
less,430,JJR,JJ,210,127.61334121646033
possible,430,JJ,JJ,193,140.7879141205214
given,424,VBN,VB,209,128.44491322655423
mean,423,VB,VB,203,133.28821207354378
yourself,423,PRP,PR,178,150.6226501779317
mother,419,NN,NN,134,168.28241319356505
nor,419,CC,CC,191,142.1993599686582
certain,418,JJ,JJ,187,144.93128974494869
because,417,IN,IN,199,136.375391394399
keep,417,VB,VB,181,148.7968796125524
dead,416,JJ,JJ,163,158.63159032697442
full,415,JJ,JJ,173,153.50287703436032
dr,413,NNP,NN,79,159.4336403901105
sometimes,413,RB,RB,163,158.63159032697442
during,413,IN,IN,182,148.17228875333723
spirits,413,NNS,NN,162,159.0966509044435
sound,412,NN,NN,163,158.63159032697442
others,410,NNS,NN,194,140.07095902384552
aubert,410,NNP,NN,30,102.45112497836531
business,408,NN,NN,169,155.65722330427508
several,408,JJ,JJ,166,157.18351814771265
london,408,NNP,NN,125,169.51797627815944
power,408,NN,NN,164,158.1576788041617
daughter,407,NN,NN,131,168.7941672288385
suppose,405,VBP,VB,184,146.8993695447843
behind,403,IN,IN,184,146.8993695447843
coming,402,VBG,VB,172,154.0540945118655
second,401,JJ,JJ,186,145.59508678295555
interest,399,NN,NN,167,156.6833750030228
longer,398,RBR,RB,169,155.65722330427508
received,397,VBD,VB,176,151.79937982001147
either,393,DT,DT,200,135.61438102252754
hours,393,NNS,NN,175,152.37547203463086
rachel,391,NNP,NN,38,116.81202209486352
silent,390,JJ,JJ,173,153.50287703436032
call,388,VB,VB,189,143.58059175592874
immediately,387,RB,RB,145,165.59275570650206
servants,387,NNS,NN,113,169.69765196935572
poirot,386,NNP,NN,13,60.07934889770151
circumstances,385,NNS,NN,159,160.4381771968781
tears,385,NNS,NN,133,168.46387269836094
mine,384,NN,NN,166,157.18351814771265
true,383,JJ,JJ,177,151.21509043037258
remained,380,VBD,VB,175,152.37547203463086
attention,380,NN,NN,162,159.0966509044435
eye,379,NN,NN,178,150.6226501779317
scene,379,NN,NN,140,166.97031091193543
steps,375,NNS,NN,141,166.71512069088823
understand,374,VB,VB,176,151.79937982001147
least,373,JJS,JJ,177,151.21509043037258
says,372,VBZ,VB,113,169.69765196935572
brother,371,NN,NN,125,169.51797627815944
view,370,NN,NN,176,151.79937982001147
country,370,NN,NN,153,162.87465858579074
countenance,370,NN,NN,120,169.80449991346126
observed,369,VBD,VB,156,161.69803665991776
held,368,VBD,VB,179,150.02210485453594
best,367,JJS,JJ,181,148.7968796125524
son,367,NN,NN,111,169.55385736763543
certainly,365,RB,RB,173,153.50287703436032
minutes,362,NNS,NN,164,158.1576788041617
drew,362,VBD,VB,181,148.7968796125524
became,362,VBD,VB,170,155.1313169874423
aunt,360,NN,NN,70,153.4851554559677
nature,359,NN,NN,173,153.50287703436032
edmund,358,NNP,NN,10,50.0
wife,356,NN,NN,128,169.2067961455824
body,354,NN,NN,124,169.5987412780604
truth,353,NN,NN,169,155.65722330427508
met,352,VBD,VB,182,148.17228875333723
child,351,NN,NN,123,169.66787151441906
led,351,VBD,VB,173,153.50287703436032
white,350,JJ,JJ,140,166.97031091193543
diamond,348,NNP,NN,50,133.9035952556319
past,347,JJ,JJ,160,160.0
blood,345,NN,NN,123,169.66787151441906
therefore,344,NN,NN,163,158.63159032697442
fell,343,VBD,VB,174,152.94332023272233
lips,342,NN,NN,158,160.867280780221
care,339,NN,NN,172,154.0540945118655
apartment,338,NN,NN,91,165.0861443766686
turn,337,NN,NN,181,148.7968796125524
themselves,336,PRP,PR,150,163.96641065872222
distance,336,NN,NN,139,167.21519608077583
happened,335,VBD,VB,168,156.17459291424512
fellow,334,NN,NN,159,160.4381771968781
soul,334,NN,NN,137,167.67375363397647
story,333,NN,NN,142,166.44969850434063
secret,332,JJ,JJ,141,166.71512069088823
conversation,332,NN,NN,165,157.6749703058552
ah,331,NN,NN,145,165.59275570650206
sent,331,VBD,VB,174,152.94332023272233
pleasure,330,NN,NN,159,160.4381771968781
happy,329,JJ,JJ,150,163.96641065872222
above,329,IN,IN,151,163.61202668990484
van,327,NNP,NN,24,89.68717425998895
cause,327,NN,NN,145,165.59275570650206
melancholy,327,NN,NN,112,169.63219535693293
matilda,326,NNP,NN,13,60.07934889770151
chair,326,NN,NN,135,168.09018720793173
stopped,325,VBD,VB,160,160.0
fire,325,NN,NN,126,169.42566959481817
street,324,NNP,NN,100,167.80719051126377
further,324,JJ,JJ,158,160.867280780221
object,323,NN,NN,160,160.0
money,323,NN,NN,128,169.2067961455824
sight,323,NN,NN,158,160.867280780221
tried,322,VBD,VB,154,162.49179934563898
betteredge,322,NNP,NN,31,104.3996853195151
high,320,JJ,JJ,167,156.6833750030228
heaven,319,NNP,NN,105,168.80667060823015
deep,318,JJ,JJ,170,155.1313169874423
discovered,318,VBD,VB,145,165.59275570650206
sister,317,NN,NN,105,168.80667060823015
black,317,JJ,JJ,127,169.32191283062994
state,315,NN,NN,158,160.867280780221
able,315,JJ,JJ,173,153.50287703436032
scarcely,315,RB,RB,99,167.56457600596752
scrooge,314,NNP,NN,5,30.0
account,314,NN,NN,160,160.0
surprise,313,NN,NN,174,152.94332023272233
meet,313,VB,VB,167,156.6833750030228
isabella,311,NNP,NN,27,96.31009600354513
character,310,NN,NN,135,168.09018720793173
walked,310,VBD,VB,155,162.09957189003433
ground,310,NN,NN,149,164.31117658935491
struck,309,VBD,VB,161,159.552805900412
chance,308,NN,NN,151,163.61202668990484
conduct,307,NN,NN,128,169.2067961455824
use,306,NN,NN,146,165.28711625707237
feet,306,NNS,NN,157,161.28725332133044
thoughts,306,NNS,NN,157,161.28725332133044
happiness,306,NN,NN,120,169.80449991346126
itself,305,PRP,PR,147,164.97159525749672
julius,304,NNP,NN,23,87.36242119309804
times,304,NNS,NN,166,157.18351814771265
gentleman,304,NN,NN,137,167.67375363397647
road,304,NN,NN,113,169.69765196935572
reached,303,VBD,VB,153,162.87465858579074
presence,301,NN,NN,161,159.552805900412
helsing,300,NNP,NN,19,77.40601104743175
large,299,JJ,JJ,137,167.67375363397647
short,298,JJ,JJ,180,149.41349974038374
watch,297,NN,NN,133,168.46387269836094
opinion,297,NN,NN,143,166.17411640958315
determined,297,VBD,VB,152,163.24808837945406
added,296,VBD,VB,156,161.69803665991776
cold,296,JJ,JJ,145,165.59275570650206
ready,296,JJ,JJ,144,165.8884454560872
strong,295,JJ,JJ,153,162.87465858579074
madam,294,NNP,NN,51,135.1246403987092
general,294,JJ,JJ,114,169.75034120237876
used,294,VBD,VB,140,166.97031091193543
paper,292,NN,NN,112,169.63219535693293
terrible,292,JJ,JJ,125,169.51797627815944
horror,292,NN,NN,121,169.7708477711449
pass,292,VB,VB,151,163.61202668990484
water,292,NN,NN,116,169.81786357213568
taking,291,VBG,VB,168,156.17459291424512
henry,290,NNP,NN,45,127.35337493509593
moments,290,NNS,NN,146,165.28711625707237
threw,290,VBD,VB,137,167.67375363397647
hardly,288,RB,RB,151,163.61202668990484
necessary,288,JJ,JJ,135,168.09018720793173
else,288,RB,RB,160,160.0
appearance,287,NN,NN,165,157.6749703058552
low,286,JJ,JJ,153,162.87465858579074
woods,285,NN,NN,68,151.94363724731758
baron,285,NNP,NN,22,84.97492247750142
kept,284,VBD,VB,150,163.96641065872222
arms,284,NNS,NN,132,168.634484769816
beyond,284,IN,IN,138,167.44970205906867
sort,282,NN,NN,144,165.8884454560872
sun,282,NN,NN,114,169.75034120237876
four,282,CD,CD,130,168.942836641658
thats,282,NN,NN,92,165.44968477239215
listened,279,VBD,VB,138,167.44970205906867
wished,277,VBD,VB,144,165.8884454560872
manfred,277,NNP,NN,5,30.0
spirit,275,NN,NN,116,169.81786357213568
lucy,275,NNP,NN,34,109.97181862365879
wild,274,JJ,JJ,141,166.71512069088823
across,274,IN,IN,133,168.46387269836094
thou,272,NN,NN,34,109.97181862365879
arrived,272,VBD,VB,149,164.31117658935491
none,272,NN,NN,146,165.28711625707237
close,271,RB,RB,155,162.09957189003433
placed,271,VBN,VB,149,164.31117658935491
husband,270,NN,NN,107,169.10933860802504
clear,269,JJ,JJ,145,165.59275570650206
situation,269,NN,NN,137,167.67375363397647
expected,269,VBN,VB,157,161.28725332133044
purpose,268,NN,NN,142,166.44969850434063
boy,268,NN,NN,92,165.44968477239215
visit,267,NN,NN,131,168.7941672288385
danger,267,NN,NN,124,169.5987412780604
neither,266,DT,DT,162,159.0966509044435
instant,266,NN,NN,131,168.7941672288385
impossible,265,JJ,JJ,152,163.24808837945406
entirely,265,RB,RB,152,163.24808837945406
servant,265,NN,NN,122,169.72527239358607
seems,264,VBZ,VB,138,167.44970205906867
company,264,NN,NN,119,169.82612945795086
party,263,NN,NN,107,169.10933860802504
inglethorp,263,NNP,NN,13,60.07934889770151
below,262,NN,NN,112,169.63219535693293
waiting,262,VBG,VB,137,167.67375363397647
five,262,CD,CD,128,169.2067961455824
following,262,JJ,JJ,141,166.71512069088823
making,261,VBG,VB,145,165.59275570650206
thy,261,JJ,JJ,38,116.81202209486352
fancy,261,NN,NN,144,165.8884454560872
sudden,260,JJ,JJ,146,165.28711625707237
arm,259,NN,NN,126,169.42566959481817
stranger,258,NN,NN,92,165.44968477239215
cant,257,VBP,VB,106,168.9648098743613
honour,257,NN,NN,108,169.24038401418053
seeing,257,VBG,VB,150,163.96641065872222
oclock,256,NN,NN,112,169.63219535693293
forward,256,RB,RB,138,167.44970205906867
closed,256,VBD,VB,136,167.88727449463514
hard,256,JJ,JJ,136,167.88727449463514
need,256,VBP,VB,138,167.44970205906867
terror,256,NN,NN,111,169.55385736763543
trust,255,VB,VB,129,169.08040829086997
im,255,NNP,NN,82,161.07883940208086
started,254,VBD,VB,142,166.44969850434063
latter,254,NN,NN,154,162.49179934563898
live,254,VB,VB,137,167.67375363397647
perceived,253,VBD,VB,94,166.12988886171416
sweet,253,JJ,JJ,123,169.66787151441906
walk,252,NN,NN,135,168.09018720793173
everything,252,NN,NN,136,167.88727449463514
chateau,252,NN,NN,35,111.74257772798386
early,251,JJ,JJ,143,166.17411640958315
notice,250,NN,NN,145,165.59275570650206
change,250,NN,NN,147,164.97159525749672
knowledge,250,NN,NN,130,168.942836641658
nearly,250,RB,RB,148,164.6462599302451
affection,250,NN,NN,108,169.24038401418053
heavy,249,JJ,JJ,138,167.44970205906867
mountains,249,NN,NN,61,145.86263619679303
wait,249,VB,VB,137,167.67375363397647
ludovico,249,NNP,NN,21,82.52182411428063
died,248,VBD,VB,127,169.32191283062994
sitting,248,VBG,VB,134,168.28241319356505
agnes,247,NNP,NN,18,74.73605568201091
master,246,NN,NN,112,169.63219535693293
antonia,246,NNP,NN,9,46.36802784100546
stay,246,VB,VB,129,169.08040829086997
bring,245,VB,VB,141,166.71512069088823
except,245,IN,IN,145,165.59275570650206
surprised,244,VBN,VB,147,164.97159525749672
ran,244,VBD,VB,136,167.88727449463514
try,244,VB,VB,114,169.75034120237876
usual,243,JJ,JJ,145,165.59275570650206
bear,243,VB,VB,133,168.46387269836094
human,243,JJ,JJ,129,169.08040829086997
papers,243,NNS,NN,93,165.79754339147777
blake,242,NNP,NN,31,104.3996853195151
figure,241,NN,NN,122,169.72527239358607
smile,241,NN,NN,140,166.97031091193543
effect,241,NN,NN,140,166.97031091193543
earth,240,NN,NN,126,169.42566959481817
book,240,NN,NN,116,169.81786357213568
anxious,239,JJ,JJ,130,168.942836641658
james,238,NNP,NN,44,125.94984495500286
feelings,238,NNS,NN,119,169.82612945795086
journey,237,NN,NN,111,169.55385736763543
former,237,JJ,JJ,120,169.80449991346126
saying,236,VBG,VB,138,167.44970205906867
cuff,235,NNP,NN,26,94.15869779540303
thank,235,NN,NN,136,167.88727449463514
shook,234,VBD,VB,131,168.7941672288385
talk,234,VB,VB,126,169.42566959481817
endeavoured,233,VBD,VB,103,168.44903947352682
concerning,233,VBG,VB,83,161.59175907385634
red,232,JJ,JJ,103,168.44903947352682
distant,231,JJ,JJ,90,164.70674987019189
later,231,RB,RB,110,169.4625219498973
proceeded,231,VBD,VB,122,169.72527239358607
laid,231,VBD,VB,127,169.32191283062994
philip,230,NNP,NN,9,46.36802784100546
difficulty,230,NN,NN,125,169.51797627815944
somewhat,230,RB,RB,120,169.80449991346126
o,229,NN,NN,74,156.32312996512252
hold,229,VB,VB,133,168.46387269836094
evidence,229,NN,NN,76,157.62404418972704
wanted,228,VBD,VB,121,169.7708477711449
lamp,228,NN,NN,69,152.72485102953436
expression,228,NN,NN,140,166.97031091193543
